description,alertlevel,alertscore,episodealertlevel,episodealertscore,fromdate,todate,severity,severitytext,source,iso3,GDACS ID,Exposed countries,Exposed population,Maximum wind speed (km/h),Maximum storm surge (m),Vulnerability,longitude,latitude,Category
"Green Tropical Cyclone OPHELIA-11 in Bermuda,Dominica,Guadeloupe,Anguilla,Antigua  and  Barbuda,St. Kitts  and  Nevis,Montserrat,Canada,St. Pierre  and  Miquelon from: 21 Sep 2011  to: 03 Oct 2011 .",Green,1.0,Green,1.0,2011-09-21 03:00:00,2011-10-03 15:00:00,222.089472,Tropical Storm (maximum wind speed of 222 km/h),JRC,BMU,TC 26073,"Bermuda,Dominica,Guadeloupe,Anguilla,Antigua & Barbuda,St. Kitts & Nevis,Montserrat,Canada,St. Pierre & Miquelon",0.0,222.0,0.9,High,-52.0,48.1000000002186,4.0
Green Tropical Cyclone HILARY-11 in Mexico from: 21 Sep 2011  to: 30 Sep 2011 .,Green,1.0,Green,1.0,2011-09-21 15:00:00,2011-09-30 21:00:00,241.4016,Tropical Depression (maximum wind speed of 231 km/h),JRC,MEX,TC 26076,Mexico,0.0,241.0,0.1,Medium,-122.0,23.6000000002186,4.0
Orange Tropical Cyclone NESAT-11 in Philippines from: 24 Sep 2011  to: 30 Sep 2011 .,Orange,2.0,Green,1.0,2011-09-24 00:00:00,2011-09-30 12:00:00,241.4016,Tropical Storm (maximum wind speed of 194 km/h),JRC,PHL,TC 26116,Philippines,2400000.0,241.0,2.8,Medium,106.100000000219,21.3999999997814,4.0
Green Tropical Cyclone HAITANG-11 off-shore from: 25 Sep 2011  to: 26 Sep 2011 .,Green,1.0,Green,1.0,2011-09-25 00:00:00,2011-09-26 18:00:00,64.37376,Tropical Depression (maximum wind speed of 64 km/h),JRC,   ,TC 26129,Off-shore,0.0,64.0,-1.0,-1,108.600000000219,16.2000000004391,-1.0
Green Tropical Cyclone ROKE-11 in Japan from: 13 Sep 2011  to: 21 Sep 2011 .,Green,1.0,Green,1.0,2011-09-13 12:00:00,2011-09-21 12:00:00,212.433408,Tropical Storm (maximum wind speed of 212 km/h),JRC,JPN,TC 25931,Japan,35000000.0,212.0,-1.0,Low,140.5,37.0,4.0
"Green Tropical Cyclone RINA-11 in Belize,Mexico,Honduras from: 24 Oct 2011  to: 28 Oct 2011 .",Green,1.0,Green,1.0,2011-10-24 03:00:00,2011-10-28 15:00:00,194.730624,Tropical Depression (maximum wind speed of 175 km/h),JRC,BLZ,TC 26557,"Belize,Mexico,Honduras",0.0,195.0,0.4,Medium,-86.6000000002186,21.7999999995609,3.0
Green Tropical Cyclone FIVE-11 in India from: 26 Nov 2011  to: 26 Nov 2011 .,Green,1.0,Green,1.0,2011-11-26 00:00:00,2011-11-26 00:00:00,101.388672,Tropical Storm (maximum wind speed of 101 km/h),JRC,IND,TC 27024,India,0.0,101.0,-1.0,High,76.0,8.2000000004391,-1.0
Green Tropical Cyclone KENNETH-11 off-shore from: 20 Nov 2011  to: 25 Nov 2011 .,Green,1.0,Green,1.0,2011-11-20 21:00:00,2011-11-25 15:00:00,231.745536,Tropical Depression (maximum wind speed of 231 km/h),JRC,   ,TC 26956,Off-shore,0.0,232.0,-1.0,-1,-126.200000000439,13.5,4.0
Green Tropical Cyclone BENILDE-12 off-shore from: 31 Dec 2011  to: 04 Jan 2012 .,Green,1.0,Green,1.0,2011-12-31 18:00:00,2012-01-04 06:00:00,212.433408,Tropical Storm (maximum wind speed of 167 km/h),JRC,   ,TC 27491,Off-shore,0.0,212.0,-1.0,-1,74.7000000004391,-21.8999999997814,4.0
Orange Tropical Cyclone THANE-11 in India from: 27 Dec 2011  to: 30 Dec 2011 .,Orange,2.0,Green,1.0,2011-12-27 00:00:00,2011-12-30 06:00:00,130.356864,Tropical Storm (maximum wind speed of 148 km/h),JRC,IND,TC 27461,India,0.0,130.0,0.5,High,79.1000000002186,11.7000000004391,1.0
Green Tropical Cyclone GRANT-11 in Australia from: 25 Dec 2011  to: 27 Dec 2011 .,Green,1.0,Green,1.0,2011-12-25 00:00:00,2011-12-27 00:00:00,83.685888,Tropical Depression (maximum wind speed of 74 km/h),JRC,AUS,TC 27450,Australia,0.0,84.0,-1.0,Low,132.899999999781,-14.1000000002186,-1.0
Green Tropical Cyclone IGGY-12 off-shore from: 26 Jan 2012  to: 02 Feb 2012 .,Green,1.0,Green,1.0,2012-01-26 00:00:00,2012-02-02 12:00:00,185.07456,Tropical Depression (maximum wind speed of 120 km/h),JRC,   ,TC 27952,Off-shore,0.0,185.0,0.8,-1,113.5,-29.8999999997814,3.0
Orange Tropical Cyclone FUNSO-12 in Mozambique from: 19 Jan 2012  to: 28 Jan 2012 .,Orange,2.0,Green,1.0,2012-01-19 18:00:00,2012-01-28 18:00:00,259.104384,Tropical Storm (maximum wind speed of 222 km/h),JRC,MOZ,TC 27865,Mozambique,0.0,259.0,1.3,High,43.2999999995609,-31.0,5.0
"Green Tropical Cyclone IRINA-12 in Juan De Nova I.,Mozambique,Swaziland,South Africa,Madagascar from: 29 Feb 2012  to: 10 Mar 2012 .",Green,1.0,Green,1.0,2012-02-29 00:00:00,2012-03-10 00:00:00,167.371776,Tropical Depression (maximum wind speed of 111 km/h),JRC,REU,TC 28552,"Juan De Nova I.,Mozambique,Swaziland,South Africa,Madagascar",0.0,167.0,0.8,High,36.2999999995609,-29.6000000002186,2.0
Green Tropical Cyclone FIFTEEN-12 off-shore from: 29 Feb 2012  to: 01 Mar 2012 .,Green,1.0,Green,1.0,2012-02-29 18:00:00,2012-03-01 18:00:00,101.388672,Tropical Depression (maximum wind speed of 64 km/h),JRC,   ,TC 28569,Off-shore,0.0,101.0,-1.0,-1,63.7000000004391,-15.2999999995609,-1.0
Green Tropical Cyclone PAKHAR-12 in Vietnam from: 29 Mar 2012  to: 01 Apr 2012 .,Green,1.0,Green,1.0,2012-03-29 12:00:00,2012-04-01 18:00:00,148.059648,Tropical Storm (maximum wind speed of 120 km/h),JRC,VNM,TC 29158,Vietnam,0.0,148.0,0.5,High,106.700000000439,11.5,1.0
Green Tropical Cyclone BERYL-12 in United States from: 26 May 2012  to: 30 May 2012 .,Green,1.0,Green,1.0,2012-05-26 03:00:00,2012-05-30 21:00:00,93.341952,Tropical Storm (maximum wind speed of 111 km/h),JRC,USA,TC 30474,United States,0.0,93.0,-1.0,Low,-76.1000000002186,34.8999999997814,-1.0
Green Tropical Cyclone SANVU-12 in Guam from: 22 May 2012  to: 27 May 2012 .,Green,1.0,Green,1.0,2012-05-22 00:00:00,2012-05-27 06:00:00,157.715712,Tropical Storm (maximum wind speed of 148 km/h),JRC,GUM,TC 30383,Guam,0.0,158.0,0.3,Medium,146.799999999561,27.6000000002186,2.0
Green Tropical Cyclone BUD-12 in Mexico from: 22 May 2012  to: 26 May 2012 .,Green,1.0,Green,1.0,2012-05-22 09:00:00,2012-05-26 15:00:00,185.07456,Tropical Depression (maximum wind speed of 185 km/h),JRC,MEX,TC 30374,Mexico,0.0,185.0,0.3,Medium,-105.799999999561,20.6000000002186,3.0
Green Tropical Cyclone ALBERTO-12 off-shore from: 19 May 2012  to: 22 May 2012 .,Green,1.0,Green,1.0,2012-05-19 21:00:00,2012-05-22 15:00:00,83.685888,Tropical Depression (maximum wind speed of 83 km/h),JRC,   ,TC 30349,Off-shore,0.0,84.0,-1.0,-1,-74.0,33.1000000002186,-1.0
Green Tropical Cyclone DOKSURI-12 in China from: 26 Jun 2012  to: 30 Jun 2012 .,Green,1.0,Green,1.0,2012-06-26 12:00:00,2012-06-30 00:00:00,111.044736,Tropical Storm (maximum wind speed of 93 km/h),JRC,CHN,TC 31024,China,0.0,111.0,1.1,Medium,111.899999999781,22.7000000004391,-1.0
Green Tropical Cyclone TWENTYONE-12 off-shore from: 29 Jun 2012  to: 30 Jun 2012 .,Green,1.0,Green,1.0,2012-06-29 12:00:00,2012-06-30 00:00:00,74.029824,Tropical Depression (maximum wind speed of 64 km/h),JRC,   ,TC 31075,Off-shore,0.0,74.0,-1.0,-1,154.799999999561,-11.0,-1.0
Green Tropical Cyclone DEBBY-12 in United States from: 23 Jun 2012  to: 27 Jun 2012 .,Green,1.0,Green,1.0,2012-06-23 21:00:00,2012-06-27 21:00:00,130.356864,Tropical Storm (maximum wind speed of 93 km/h),JRC,USA,TC 30970,United States,0.0,130.0,2.3,Low,-78.2999999995609,29.5,1.0
Green Tropical Cyclone CHRIS-12 off-shore from: 19 Jun 2012  to: 22 Jun 2012 .,Green,1.0,Green,1.0,2012-06-19 21:00:00,2012-06-22 15:00:00,120.7008,Tropical Storm (maximum wind speed of 120 km/h),JRC,   ,TC 30892,Off-shore,0.0,121.0,0.2,-1,-46.8999999997814,44.6000000002186,1.0
Orange Tropical Cyclone SAOLA-12 in China from: 28 Jul 2012  to: 03 Aug 2012 .,Orange,2.0,Green,1.0,2012-07-28 06:00:00,2012-08-03 00:00:00,194.730624,Tropical Storm (maximum wind speed of 167 km/h),JRC,CHN,TC 31574,China,8800000.0,195.0,0.8,Medium,119.299999999561,27.0,3.0
Orange Tropical Cyclone DAMREY-12 in China from: 30 Jul 2012  to: 02 Aug 2012 .,Orange,2.0,Green,1.0,2012-07-30 00:00:00,2012-08-02 18:00:00,138.403584,Tropical Storm (maximum wind speed of 138 km/h),JRC,CHN,TC 31589,China,20000.0,138.0,2.5,Medium,119.200000000439,35.0,1.0
Red Tropical Cyclone VICENTE-12 in China from: 21 Jul 2012  to: 24 Jul 2012 .,Red,3.0,Red,3.0,2012-07-21 18:00:00,2012-07-24 00:00:00,212.433408,Hurricane/Typhoon > 74 mph (maximum wind speed of 212 km/h),JRC,CHN,TC 31445,China,6100000.0,212.0,3.3,Medium,112.200000000439,22.2999999995609,4.0
Green Tropical Cyclone LESLIE-12 off-shore from: 30 Aug 2012  to: 11 Sep 2012 .,Green,1.0,Green,1.0,2012-08-30 21:00:00,2012-09-11 15:00:00,175.418496,Tropical Storm (maximum wind speed of 120 km/h),JRC,   ,TC 32187,Off-shore,0.0,175.0,1.1,-1,-53.6000000002186,49.3999999997814,2.0
Green Tropical Cyclone KIRK-12 off-shore from: 29 Aug 2012  to: 02 Sep 2012 .,Green,1.0,Green,1.0,2012-08-29 03:00:00,2012-09-02 21:00:00,175.418496,Tropical Storm (maximum wind speed of 167 km/h),JRC,   ,TC 32156,Off-shore,0.0,175.0,-1.0,-1,-32.6000000002186,49.7000000004391,2.0
Green Tropical Cyclone ILEANA-12 off-shore from: 28 Aug 2012  to: 02 Sep 2012 .,Green,1.0,Green,1.0,2012-08-28 03:00:00,2012-09-02 15:00:00,138.403584,Tropical Depression (maximum wind speed of 138 km/h),JRC,   ,TC 32143,Off-shore,0.0,138.0,-1.0,-1,-122.5,22.6000000002186,1.0
Green Tropical Cyclone ISAAC-12 in United States from: 21 Aug 2012  to: 30 Aug 2012 .,Green,1.0,Green,1.0,2012-08-21 21:00:00,2012-08-30 21:00:00,175.418496,Tropical Depression (maximum wind speed of 130 km/h),JRC,USA,TC 32032,United States,1600000.0,175.0,3.5,Low,-92.6000000002186,32.7000000004391,2.0
Red Tropical Cyclone TEMBIN-12 in China from: 19 Aug 2012  to: 30 Aug 2012 .,Red,3.0,Green,1.0,2012-08-19 00:00:00,2012-08-30 00:00:00,241.4016,Tropical Storm (maximum wind speed of 212 km/h),JRC,CHN,TC 31997,China,3800000.0,241.0,0.9,Medium,126.5,34.5,4.0
Red Tropical Cyclone BOLAVEN-12 in Japan from: 20 Aug 2012  to: 28 Aug 2012 .,Red,3.0,Green,1.0,2012-08-20 06:00:00,2012-08-28 18:00:00,249.44832,Tropical Storm (maximum wind speed of 231 km/h),JRC,JPN,TC 32007,Japan,1200000.0,249.0,2.5,Low,126.200000000439,41.6000000002186,4.0
Green Tropical Cyclone JOYCE-12 off-shore from: 23 Aug 2012  to: 24 Aug 2012 .,Green,1.0,Green,1.0,2012-08-23 15:00:00,2012-08-24 15:00:00,111.044736,Tropical Depression (maximum wind speed of 64 km/h),JRC,   ,TC 32054,Off-shore,0.0,111.0,0.1,-1,-46.2000000004391,17.7999999995609,-1.0
Green Tropical Cyclone NADINE-12 in Portugal from: 12 Sep 2012  to: 04 Oct 2012 .,Green,1.0,Green,1.0,2012-09-12 03:00:00,2012-10-04 09:00:00,148.059648,Tropical Storm (maximum wind speed of 148 km/h),JRC,PRT,TC 32517,Portugal,0.0,148.0,0.2,Low,-28.3999999997814,38.3999999997814,1.0
Green Tropical Cyclone JELAWAT-12 in Japan from: 20 Sep 2012  to: 30 Sep 2012 .,Green,1.0,Green,1.0,2012-09-20 18:00:00,2012-09-30 18:00:00,268.760448,Tropical Storm (maximum wind speed of 259 km/h),JRC,JPN,TC 32686,Japan,0.0,269.0,0.7,Low,140.899999999781,38.6000000002186,5.0
Green Tropical Cyclone NORMAN-12 in Mexico from: 28 Sep 2012  to: 29 Sep 2012 .,Green,1.0,Green,1.0,2012-09-28 15:00:00,2012-09-29 21:00:00,83.685888,Tropical Depression (maximum wind speed of 74 km/h),JRC,MEX,TC 32845,Mexico,0.0,84.0,-1.0,Medium,-111.100000000219,25.8999999997814,-1.0
Green Tropical Cyclone EWINIAR-12 off-shore from: 24 Sep 2012  to: 29 Sep 2012 .,Green,1.0,Green,1.0,2012-09-24 12:00:00,2012-09-29 12:00:00,111.044736,Tropical Storm (maximum wind speed of 101 km/h),JRC,   ,TC 32758,Off-shore,0.0,111.0,0.2,-1,149.200000000439,37.8999999997814,-1.0
Green Tropical Cyclone MIRIAM-12 off-shore from: 22 Sep 2012  to: 28 Sep 2012 .,Green,1.0,Green,1.0,2012-09-22 15:00:00,2012-09-28 03:00:00,204.386688,Tropical Depression (maximum wind speed of 194 km/h),JRC,   ,TC 32724,Off-shore,0.0,204.0,-1.0,-1,-116.700000000439,22.0,3.0
Green Tropical Cyclone ROSA-12 off-shore from: 30 Oct 2012  to: 04 Nov 2012 .,Green,1.0,Green,1.0,2012-10-30 15:00:00,2012-11-04 21:00:00,93.341952,Tropical Depression (maximum wind speed of 93 km/h),JRC,   ,TC 33424,Off-shore,0.0,93.0,-1.0,-1,-121.5,12.6000000002186,-1.0
"Orange Tropical Cyclone NILAM-12 in India, Sri Lanka from: 30 Oct 2012  to: 31 Oct 2012 .",Orange,2.0,Orange,2.0,2012-10-30 12:00:00,2012-10-31 12:00:00,101.388672,Tropical Storm (maximum wind speed of 101 km/h),JRC,IND,TC 33400,"India, Sri Lanka",0.0,101.0,-1.0,High,80.0,12.6000000002186,-1.0
"Orange Tropical Cyclone SANDY-12 in Cuba, Jamaica, Bahamas, United States from: 22 Oct 2012  to: 30 Oct 2012 .",Orange,2.0,Green,1.0,2012-10-22 21:00:00,2012-10-30 03:00:00,167.371776,Hurricane/Typhoon > 74 mph (maximum wind speed of 167 km/h),JRC,CUB,TC 33263,"Cuba, Jamaica, Bahamas, United States",19900000.0,167.0,4.5,Medium,-75.3999999997814,39.7999999995609,2.0
Red Tropical Cyclone SON-TINH-12 in Viet Nam from: 24 Oct 2012  to: 29 Oct 2012 .,Red,3.0,Orange,2.0,2012-10-24 00:00:00,2012-10-29 00:00:00,204.386688,Tropical Storm (maximum wind speed of 204 km/h),JRC,VNM,TC 33292,Viet Nam,7300000.0,204.0,2.2,High,106.899999999781,21.3999999997814,3.0
Red Tropical Cyclone BOPHA-12 in Philippines from: 27 Nov 2012  to: 09 Dec 2012 .,Red,3.0,Green,1.0,2012-11-27 00:00:00,2012-12-09 00:00:00,259.104384,Tropical Depression (maximum wind speed of 259 km/h),JRC,PHL,TC 33913,Philippines,7400000.0,259.0,0.8,Medium,119.200000000439,18.2999999995609,5.0
Green Tropical Cyclone BOLDWIN-12 off-shore from: 24 Nov 2012  to: 25 Nov 2012 .,Green,1.0,Green,1.0,2012-11-24 06:00:00,2012-11-25 18:00:00,111.044736,Tropical Storm (maximum wind speed of 101 km/h),JRC,   ,TC 33895,Off-shore,0.0,111.0,-1.0,-1,71.6000000002186,-15.2000000004391,-1.0
"Green Tropical Cyclone FREDA-13 in New Caledonia, Solomon Islands from: 31 Dec 2012  to: 02 Jan 2013 .",Green,1.0,Green,1.0,2012-12-31 12:00:00,2013-01-02 00:00:00,204.386688,Tropical Storm (maximum wind speed of 194 km/h),JRC,NCL,TC 34573,"New Caledonia, Solomon Islands",0.0,204.0,0.2,High,163.100000000219,-20.1000000002186,3.0
Green Tropical Cyclone MITCHELL-12 off-shore from: 29 Dec 2012  to: 30 Dec 2012 .,Green,1.0,Green,1.0,2012-12-29 00:00:00,2012-12-30 06:00:00,101.388672,Tropical Storm (maximum wind speed of 83 km/h),JRC,   ,TC 34590,Off-shore,0.0,101.0,-1.0,-1,110.0,-22.6000000002186,-1.0
Green Tropical Cyclone WUKONG-12 off-shore from: 25 Dec 2012  to: 28 Dec 2012 .,Green,1.0,Green,1.0,2012-12-25 00:00:00,2012-12-28 12:00:00,83.685888,Tropical Depression (maximum wind speed of 64 km/h),JRC,   ,TC 34484,Off-shore,0.0,84.0,-1.0,-1,109.299999999561,7.89999999978136,-1.0
Green Tropical Cyclone FOUR-12 off-shore from: 23 Dec 2012  to: 24 Dec 2012 .,Green,1.0,Green,1.0,2012-12-23 00:00:00,2012-12-24 12:00:00,101.388672,Tropical Storm (maximum wind speed of 74 km/h),JRC,   ,TC 34443,Off-shore,0.0,101.0,-1.0,-1,52.0,7.2000000004391,-1.0
Green Tropical Cyclone FELLENG-13 in Madagascar from: 28 Jan 2013  to: 03 Feb 2013 .,Green,1.0,Green,1.0,2013-01-28 12:00:00,2013-02-03 18:00:00,231.745536,Tropical Storm (maximum wind speed of 212 km/h),JRC,MDG,TC 35220,Madagascar,0.0,232.0,0.2,High,54.2999999995609,-33.3999999997814,4.0
Green Tropical Cyclone GARRY-13 in Cook Islands from: 21 Jan 2013  to: 27 Jan 2013 .,Green,1.0,Green,1.0,2013-01-21 06:00:00,2013-01-27 06:00:00,157.715712,Tropical Storm (maximum wind speed of 157 km/h),JRC,COK,TC 35091,Cook Islands,0.0,158.0,0.2,Medium,-158.200000000439,-23.5,2.0
Green Tropical Cyclone PETA-13 off-shore from: 23 Jan 2013  to: 23 Jan 2013 .,Green,1.0,Green,1.0,2013-01-23 06:00:00,2013-01-23 12:00:00,74.029824,Tropical Storm (maximum wind speed of 64 km/h),JRC,   ,TC 35142,Off-shore,0.0,74.0,-1.0,-1,117.299999999561,-21.6000000002186,-1.0
Green Tropical Cyclone RUSTY-13 in Australia from: 24 Feb 2013  to: 27 Feb 2013 .,Green,1.0,Green,1.0,2013-02-24 12:00:00,2013-02-27 12:00:00,212.433408,Hurricane/Typhoon > 74 mph (maximum wind speed of 175 km/h),JRC,AUS,TC 35931,Australia,0.0,212.0,1.2,Low,119.799999999561,-20.2999999995609,4.0
Green Tropical Cyclone EIGHTEEN-13 off-shore from: 24 Feb 2013  to: 27 Feb 2013 .,Green,1.0,Green,1.0,2013-02-24 12:00:00,2013-02-27 00:00:00,130.356864,Tropical Depression (maximum wind speed of 74 km/h),JRC,   ,TC 35941,Off-shore,0.0,130.0,-1.0,-1,98.6000000002186,-15.2999999995609,1.0
Orange Tropical Cyclone HARUNA-13 in Madagascar from: 19 Feb 2013  to: 25 Feb 2013 .,Orange,2.0,Green,1.0,2013-02-19 12:00:00,2013-02-25 00:00:00,185.07456,Tropical Storm (maximum wind speed of 185 km/h),JRC,MDG,TC 35803,Madagascar,790000.0,185.0,0.8,High,57.5,-27.0,3.0
Green Tropical Cyclone ZANE-13 in Australia from: 30 Apr 2013  to: 30 Apr 2013 .,Green,1.0,Green,1.0,2013-04-30 00:00:00,2013-04-30 18:00:00,157.715712,Tropical Storm (maximum wind speed of 120 km/h),JRC,AUS,TC 37488,Australia,0.0,158.0,0.2,Low,148.299999999561,-14.2000000004391,2.0
Orange Tropical Cyclone BARBARA-13 in Mexico from: 28 May 2013  to: 30 May 2013 .,Orange,2.0,Green,1.0,2013-05-28 00:00:00,2013-05-30 15:00:00,120.7008,Tropical Depression (maximum wind speed of 120 km/h),JRC,MEX,TC 38075,Mexico,250000.0,121.0,0.7,Medium,-95.0,18.5,1.0
Green Tropical Cyclone DALILA-13 off-shore from: 30 Jun 2013  to: 07 Jul 2013 .,Green,1.0,Green,1.0,2013-06-30 09:00:00,2013-07-07 09:00:00,130.356864,Tropical Depression (maximum wind speed of 120 km/h),JRC,   ,TC 38661,Off-shore,0.0,130.0,-1.0,-1,-113.0,16.7999999995609,1.0
"Green Tropical Cyclone RUMBIA-13 in China, Philippines from: 28 Jun 2013  to: 02 Jul 2013 .",Green,1.0,Green,1.0,2013-06-28 18:00:00,2013-07-02 00:00:00,120.7008,Tropical Storm (maximum wind speed of 120 km/h),JRC,CHN,TC 38620,"China, Philippines",0.0,121.0,1.6,Medium,110.0,21.3999999997814,1.0
Green Tropical Cyclone COSME-13 in Mexico from: 24 Jun 2013  to: 27 Jun 2013 .,Green,1.0,Green,1.0,2013-06-24 09:00:00,2013-06-27 21:00:00,138.403584,Tropical Depression (maximum wind speed of 138 km/h),JRC,MEX,TC 38549,Mexico,0.0,138.0,-1.0,Medium,-122.600000000219,20.8999999997814,1.0
Green Tropical Cyclone BEBINCA-13 off-shore from: 21 Jun 2013  to: 23 Jun 2013 .,Green,1.0,Green,1.0,2013-06-21 06:00:00,2013-06-23 06:00:00,83.685888,Tropical Depression (maximum wind speed of 64 km/h),JRC,   ,TC 38510,Off-shore,0.0,84.0,-1.0,-1,106.700000000439,20.0,-1.0
Green Tropical Cyclone BARRY-13 in Mexico from: 19 Jun 2013  to: 21 Jun 2013 .,Green,1.0,Green,1.0,2013-06-19 21:00:00,2013-06-21 03:00:00,74.029824,Tropical Depression (maximum wind speed of 74 km/h),JRC,MEX,TC 38445,Mexico,0.0,74.0,-1.0,Medium,-98.2000000004391,19.6000000002186,-1.0
Green Tropical Cyclone GIL-13 off-shore from: 30 Jul 2013  to: 07 Aug 2013 .,Green,1.0,Green,1.0,2013-07-30 21:00:00,2013-08-07 03:00:00,157.715712,Tropical Depression (maximum wind speed of 138 km/h),JRC,   ,TC 39211,Off-shore,0.0,158.0,-1.0,-1,-142.5,13.5,2.0
