,description,alertlevel,alertscore,episodealertlevel,episodealertscore,country,fromdate,todate,severity (magnitude),source,iso3,Death,Displaced,GDACS_ID,longitude,latitude
10,GREEN Flood in Australia from: 06 Mar 2000 00 to: 11 Mar 2000 23.,GREEN,1.0,GREEN,1.0,Australia,2000-03-06 00:00:00,2000-03-11 23:59:59,6.51,DFO,AUS,1.0,-1.0,FL 1590,119.171,-23.525
11,GREEN Flood in South Africa from: 09 Mar 2000 00 to: 09 Mar 2000 00.,GREEN,1.0,Green,1.0,South Africa,2000-03-09 00:00:00,2000-03-09 00:00:00,5.54,DFO,   ,14.0,-1.0,FL 1593,25.646,-32.701
12,GREEN Flood in Cambodia from: 03 Mar 2000 00 to: 04 Mar 2000 23.,GREEN,1.0,GREEN,1.0,Cambodia ,2000-03-03 00:00:00,2000-03-04 23:59:59,4.39,DFO,KHM,3.0,-1.0,FL 1588,106.939,13.719
13,GREEN Flood in Zambia from: 03 Mar 2000 00 to: 04 Mar 2000 23.,GREEN,1.0,GREEN,1.0,Zambia ,2000-03-03 00:00:00,2000-03-04 23:59:59,4.54,DFO,ZMB,0.0,12000.0,FL 1589,28.848,-16.528
14,GREEN Flood in Romania from: 05 Apr 2000 00 to: 25 Apr 2000 23.,GREEN,1.0,GREEN,1.0,Romania,2000-04-05 00:00:00,2000-04-25 23:59:59,6.69,DFO,ROU,10.0,623.0,FL 1595,22.415,46.764
15,GREEN Flood in China from: 13 Apr 2000 00 to: 17 Apr 2000 23.,GREEN,1.0,GREEN,1.0,China,2000-04-13 00:00:00,2000-04-17 23:59:59,5.02,DFO,CHN,15.0,-1.0,FL 1596,113.381,22.598
16,GREEN Flood in Bangladesh from: 27 May 2000 00 to: 19 Jun 2000 23.,GREEN,1.0,GREEN,1.0,Bangladesh,2000-05-27 00:00:00,2000-06-19 23:59:59,5.99,DFO,BGD,36.0,10000.0,FL 1603,91.712,23.507
17,GREEN Flood in China from: 31 May 2000 00 to: 19 Jun 2000 23.,GREEN,1.0,GREEN,1.0,China,2000-05-31 00:00:00,2000-06-19 23:59:59,6.66,DFO,CHN,94.0,8725.0,FL 1605,105.491,32.363
18,GREEN Flood in Vietnam from: 31 May 2000 00 to: 02 Jun 2000 23.,GREEN,1.0,GREEN,1.0,Vietnam ,2000-05-31 00:00:00,2000-06-02 23:59:59,4.06,DFO,VNM,0.0,-1.0,FL 1604,108.358,12.124
19,ORANGE Flood in Timor from: 16 May 2000 00 to: 24 May 2000 23.,ORANGE,2.0,ORANGE,2.0,Timor,2000-05-16 00:00:00,2000-05-24 23:59:59,5.31,DFO,-1,126.0,15000.0,FL 1600,125.334,-9.278
20,GREEN Flood in Colombia from: 18 May 2000 00 to: 24 May 2000 23.,GREEN,1.0,GREEN,1.0,Colombia ,2000-05-18 00:00:00,2000-05-24 23:59:59,6.15,DFO,COL,9.0,67500.0,FL 1601,-75.732,0.948
21,GREEN Flood in Northern Türkiye from: 18 May 2000 00 to: 18 May 2000 00.,GREEN,1.0,Green,1.0,Northern Türkiye,2000-05-18 00:00:00,2000-05-18 00:00:00,5.08,DFO,   ,2.0,-1.0,FL 1602,34.869,41.155
22,ORANGE Flood in Philippines from: 18 May 2000 00 to: 18 May 2000 00.,ORANGE,2.0,Orange,2.0,Philippines,2000-05-18 00:00:00,2000-05-18 00:00:00,5.18,DFO,   ,6.0,112000.0,FL 1599,120.953,15.293
23,GREEN Flood in USA from: 06 May 2000 00 to: 09 May 2000 23.,GREEN,1.0,GREEN,1.0,USA ,2000-05-06 00:00:00,2000-05-09 23:59:59,5.78,DFO,USA,3.0,1200.0,FL 1597,-92.247,37.009
24,GREEN Flood in Somalia from: 01 May 2000 00 to: 01 May 2000 00.,GREEN,1.0,Green,1.0,Somalia,2000-05-01 00:00:00,2000-05-01 00:00:00,6.14,DFO,   ,0.0,3500.0,FL 1598,42.638,0.422
25,GREEN Flood in China from: 17 Jun 2000 00 to: 30 Jun 2000 23.,GREEN,1.0,GREEN,1.0,China ,2000-06-17 00:00:00,2000-06-30 23:59:59,6.03,DFO,CHN,18.0,31000.0,FL 1610,119.531,26.387
26,ORANGE Flood in China from: 30 Jun 2000 00 to: 30 Jun 2000 00.,ORANGE,2.0,Orange,2.0,China ,2000-06-30 00:00:00,2000-06-30 00:00:00,6.07,DFO,   ,65.0,88000.0,FL 1613,109.248,27.416
27,GREEN Flood in Bangladesh from: 19 Jun 2000 00 to: 26 Jun 2000 23.,GREEN,1.0,GREEN,1.0,Bangladesh,2000-06-19 00:00:00,2000-06-26 23:59:59,5.43,DFO,BGD,14.0,20000.0,FL 1611,89.736,25.557
28,GREEN Flood in Guatemala from: 06 Jun 2000 00 to: 21 Jun 2000 23.,GREEN,1.0,GREEN,1.0,Guatemala ,2000-06-06 00:00:00,2000-06-21 23:59:59,5.27,DFO,GTM,16.0,2600.0,FL 1609,-90.682,14.973
29,GREEN Flood in Chile from: 05 Jun 2000 00 to: 16 Jun 2000 23.,GREEN,1.0,GREEN,1.0,Chile,2000-06-05 00:00:00,2000-06-16 23:59:59,6.31,DFO,CHL,0.0,41000.0,FL 1607,-71.406,-34.089
30,GREEN Flood in Eastern India from: 10 Jun 2000 00 to: 10 Jun 2000 00.,GREEN,1.0,Green,1.0,Eastern India ,2000-06-10 00:00:00,2000-06-10 00:00:00,5.89,DFO,   ,30.0,50000.0,FL 1606,94.798,27.426
31,GREEN Flood in Colombia from: 05 Jun 2000 00 to: 07 Jun 2000 23.,GREEN,1.0,GREEN,1.0,Colombia,2000-06-05 00:00:00,2000-06-07 23:59:59,4.89,DFO,COL,0.0,-1.0,FL 1608,-74.648,6.876
32,ORANGE Flood in Brazil from: 30 Jul 2000 00 to: 17 Aug 2000 23.,ORANGE,2.0,ORANGE,2.0,Brazil,2000-07-30 00:00:00,2000-08-17 23:59:59,5.96,DFO,BRA,70.0,120000.0,FL 1618,-36.256,-9.179
33,GREEN Flood in Thailand from: 11 Jul 2000 00 to: 10 Aug 2000 23.,GREEN,1.0,GREEN,1.0,Thailand,2000-07-11 00:00:00,2000-08-10 23:59:59,6.57,DFO,THA,33.0,25000.0,FL 1614,105.064,11.243
34,GREEN Flood in Russia from: 30 Jul 2000 00 to: 06 Aug 2000 23.,GREEN,1.0,GREEN,1.0,Russia,2000-07-30 00:00:00,2000-08-06 23:59:59,6.19,DFO,RUS,0.0,24000.0,FL 1619,134.396,47.114
35,ORANGE Flood in India from: 31 Jul 2000 00 to: 04 Aug 2000 23.,ORANGE,2.0,ORANGE,2.0,India ,2000-07-31 00:00:00,2000-08-04 23:59:59,4.79,DFO,IND,140.0,4000.0,FL 1616,77.692,31.806
36,ORANGE Flood in Western India from: 17 Jul 2000 00 to: 17 Jul 2000 00.,ORANGE,2.0,Orange,2.0,Western India,2000-07-17 00:00:00,2000-07-17 00:00:00,6.18,DFO,   ,140.0,-1.0,FL 1615,74.52,15.811
37,"RED Flood in Northern Philippines, Central Japan and Taiwan - Typhoons Kirogi, Edeng and Kai Tak from: 04 Jul 2000 00 to: 04 Jul 2000 00.",RED,3.0,Red,3.0,"Northern Philippines, Central Japan and Taiwan - Typhoons Kirogi, Edeng and Kai Tak",2000-07-04 00:00:00,2000-07-04 00:00:00,4.91,DFO,   ,45.0,800000.0,FL 1612,120.823,14.929
38,ORANGE Flood in India from: 29 Aug 2000 00 to: 14 Sep 2000 23.,ORANGE,2.0,ORANGE,2.0,India ,2000-08-29 00:00:00,2000-09-14 23:59:59,6.58,DFO,IND,578.0,-1.0,FL 1626,80.468,26.961
39,GREEN Flood in China from: 30 Aug 2000 00 to: 10 Sep 2000 23.,GREEN,1.0,GREEN,1.0,China,2000-08-30 00:00:00,2000-09-10 23:59:59,5.99,DFO,CHN,31.0,14140.0,FL 1627,132.058,43.774
40,GREEN Flood in China from: 28 Aug 2000 00 to: 05 Sep 2000 23.,GREEN,1.0,GREEN,1.0,China,2000-08-28 00:00:00,2000-09-05 23:59:59,4.92,DFO,CHN,0.0,1300.0,FL 1630,89.385,28.996
41,GREEN Flood in North Korea from: 31 Aug 2000 00 to: 04 Sep 2000 23.,GREEN,1.0,GREEN,1.0,North Korea ,2000-08-31 00:00:00,2000-09-04 23:59:59,4.92,DFO,PRK,42.0,-1.0,FL 1634,129.542,41.785
42,GREEN Flood in India from: 30 Aug 2000 00 to: 01 Sep 2000 23.,GREEN,1.0,GREEN,1.0,India ,2000-08-30 00:00:00,2000-09-01 23:59:59,5.04,DFO,IND,40.0,5000.0,FL 1628,80.038,19.934
43,RED Flood in India from: 23 Aug 2000 00 to: 31 Aug 2000 23.,RED,3.0,RED,3.0,India ,2000-08-23 00:00:00,2000-08-31 23:59:59,6.37,DFO,IND,162.0,3000000.0,FL 1623,79.21,17.134
44,RED Flood in India from: 02 Aug 2000 00 to: 30 Aug 2000 23.,RED,3.0,RED,3.0,India,2000-08-02 00:00:00,2000-08-30 23:59:59,6.98,DFO,IND,637.0,10504000.0,FL 1617,94.643,27.094
45,GREEN Flood in South Korea from: 26 Aug 2000 00 to: 29 Aug 2000 23.,GREEN,1.0,GREEN,1.0,South Korea ,2000-08-26 00:00:00,2000-08-29 23:59:59,5.04,DFO,ZAF,7.0,500.0,FL 1625,127.02,35.668
46,ORANGE Flood in Vietnam from: 21 Aug 2000 00 to: 28 Aug 2000 23.,ORANGE,2.0,ORANGE,2.0,Vietnam,2000-08-21 00:00:00,2000-08-28 23:59:59,5.8,DFO,VNM,14.0,400500.0,FL 1622,103.811,15.112
47,"RED Flood in Cambodia, Vietnam, Thailand and Laos from: 28 Aug 2000 00 to: 28 Aug 2000 00.",RED,3.0,Red,3.0,"Cambodia, Vietnam, Thailand and Laos",2000-08-28 00:00:00,2000-08-28 00:00:00,6.32,DFO,   ,1139.0,6574000.0,FL 1629,106.195,11.543
48,GREEN Flood in Ethiopia from: 10 Aug 2000 00 to: 21 Aug 2000 23.,GREEN,1.0,GREEN,1.0,Ethiopia ,2000-08-10 00:00:00,2000-08-21 23:59:59,5.84,DFO,ETH,9.0,30000.0,FL 1624,40.609,10.516
49,GREEN Flood in Iran from: 07 Aug 2000 00 to: 09 Aug 2000 23.,GREEN,1.0,GREEN,1.0,Iran,2000-08-07 00:00:00,2000-08-09 23:59:59,4.69,DFO,IRN,8.0,400.0,FL 1621,56.655,36.547
50,GREEN Flood in Cameroon from: 03 Aug 2000 00 to: 05 Aug 2000 23.,GREEN,1.0,GREEN,1.0,Cameroon,2000-08-03 00:00:00,2000-08-05 23:59:59,4.36,DFO,CMR,3.0,500.0,FL 1620,9.678,3.954
51,RED Flood in India from: 18 Sep 2000 00 to: 21 Oct 2000 23.,RED,3.0,RED,3.0,India,2000-09-18 00:00:00,2000-10-21 23:59:59,7.02,DFO,IND,1468.0,24000000.0,FL 1641,88.545,24.084
52,GREEN Flood in Mexico from: 19 Sep 2000 00 to: 22 Sep 2000 23.,GREEN,1.0,GREEN,1.0,Mexico,2000-09-19 00:00:00,2000-09-22 23:59:59,4.71,DFO,MEX,9.0,-1.0,FL 1640,-100.301,17.258
53,ORANGE Flood in Sri Lanka from: 18 Sep 2000 00 to: 22 Sep 2000 23.,ORANGE,2.0,ORANGE,2.0,Sri Lanka ,2000-09-18 00:00:00,2000-09-22 23:59:59,4.6,DFO,LKA,2.0,100000.0,FL 1638,80.615,6.196
54,GREEN Flood in Nigeria from: 20 Sep 2000 00 to: 21 Sep 2000 23.,GREEN,1.0,GREEN,1.0,Nigeria ,2000-09-20 00:00:00,2000-09-21 23:59:59,4.19,DFO,NGA,0.0,-1.0,FL 1642,3.218,6.747
55,GREEN Flood in France from: 19 Sep 2000 00 to: 20 Sep 2000 23.,GREEN,1.0,GREEN,1.0,France ,2000-09-19 00:00:00,2000-09-20 23:59:59,4.56,DFO,FRA,6.0,-1.0,FL 1639,4.404,43.801
56,GREEN Flood in Columbia from: 20 Sep 2000 00 to: 20 Sep 2000 00.,GREEN,1.0,Green,1.0,Columbia ,2000-09-20 00:00:00,2000-09-20 00:00:00,6.36,DFO,   ,9.0,28000.0,FL 1644,-74.787,7.36
57,GREEN Flood in Brazil from: 16 Sep 2000 00 to: 18 Sep 2000 23.,GREEN,1.0,GREEN,1.0,Brazil ,2000-09-16 00:00:00,2000-09-18 23:59:59,3.96,DFO,BRA,3.0,10000.0,FL 1637,-35.037,-8.235
58,ORANGE Flood in Japan from: 11 Sep 2000 00 to: 17 Sep 2000 23.,ORANGE,2.0,ORANGE,2.0,Japan,2000-09-11 00:00:00,2000-09-17 23:59:59,5.48,DFO,JPN,13.0,100000.0,FL 1635,137.306,34.95
59,GREEN Flood in Guatemala from: 15 Sep 2000 00 to: 17 Sep 2000 23.,GREEN,1.0,GREEN,1.0,Guatemala ,2000-09-15 00:00:00,2000-09-17 23:59:59,4.62,DFO,GTM,20.0,1000.0,FL 1636,-90.639,14.972
60,GREEN Flood in El Salvador from: 05 Sep 2000 00 to: 08 Sep 2000 23.,GREEN,1.0,GREEN,1.0,El Salvador ,2000-09-05 00:00:00,2000-09-08 23:59:59,4.54,DFO,SLV,2.0,400.0,FL 1633,-88.627,13.797
61,GREEN Flood in China from: 01 Sep 2000 00 to: 06 Sep 2000 23.,GREEN,1.0,GREEN,1.0,China,2000-09-01 00:00:00,2000-09-06 23:59:59,5.19,DFO,CHN,47.0,46000.0,FL 1631,113.483,25.229
62,GREEN Flood in Philippines from: 04 Sep 2000 00 to: 05 Sep 2000 23.,GREEN,1.0,GREEN,1.0,Philippines,2000-09-04 00:00:00,2000-09-05 23:59:59,3.51,DFO,PHL,3.0,5000.0,FL 1632,120.916,14.776
63,ORANGE Flood in Philippines from: 28 Oct 2000 00 to: 31 Oct 2000 23.,ORANGE,2.0,ORANGE,2.0,Philippines,2000-10-28 00:00:00,2000-10-31 23:59:59,4.45,DFO,PHL,41.0,100000.0,FL 1655,123.715,13.063
64,GREEN Flood in Indonesia from: 29 Oct 2000 00 to: 31 Oct 2000 23.,GREEN,1.0,GREEN,1.0,Indonesia ,2000-10-29 00:00:00,2000-10-31 23:59:59,4.61,DFO,IDN,40.0,10000.0,FL 1656,108.884,-7.323
65,GREEN Flood in UK and Ireland from: 29 Oct 2000 00 to: 29 Oct 2000 00.,GREEN,1.0,Green,1.0,UK and Ireland,2000-10-29 00:00:00,2000-10-29 00:00:00,5.59,DFO,   ,13.0,6000.0,FL 1657,-0.679,52.675
66,GREEN Flood in Spain from: 20 Oct 2000 00 to: 26 Oct 2000 23.,GREEN,1.0,GREEN,1.0,Spain ,2000-10-20 00:00:00,2000-10-26 23:59:59,5.27,DFO,ESP,8.0,500.0,FL 1651,-0.538,39.686
67,GREEN Flood in Israel from: 24 Oct 2000 00 to: 26 Oct 2000 23.,GREEN,1.0,GREEN,1.0,Israel ,2000-10-24 00:00:00,2000-10-26 23:59:59,3.98,DFO,ISR,1.0,600.0,FL 1654,34.67,31.889
68,GREEN Flood in Algeria from: 22 Oct 2000 00 to: 25 Oct 2000 23.,GREEN,1.0,GREEN,1.0,Algeria,2000-10-22 00:00:00,2000-10-25 23:59:59,5.61,DFO,DZA,28.0,400.0,FL 1653,-0.678,34.225
69,GREEN Flood in USA from: 22 Oct 2000 00 to: 23 Oct 2000 23.,GREEN,1.0,GREEN,1.0,USA,2000-10-22 00:00:00,2000-10-23 23:59:59,2.8,DFO,USA,1.0,500.0,FL 1652,-113.627,33.796
70,GREEN Flood in Italy from: 14 Oct 2000 00 to: 22 Oct 2000 23.,GREEN,1.0,GREEN,1.0,Italy,2000-10-14 00:00:00,2000-10-22 23:59:59,5.9,DFO,ITA,37.0,43000.0,FL 1650,8.748,45.571
71,ORANGE Flood in Vietnam from: 10 Oct 2000 00 to: 19 Oct 2000 23.,ORANGE,2.0,ORANGE,2.0,Vietnam ,2000-10-10 00:00:00,2000-10-19 23:59:59,5.86,DFO,VNM,23.0,200000.0,FL 1645,107.684,12.292
72,ORANGE Flood in China from: 12 Oct 2000 00 to: 18 Oct 2000 23.,ORANGE,2.0,ORANGE,2.0,China ,2000-10-12 00:00:00,2000-10-18 23:59:59,5.19,DFO,CHN,10.0,200000.0,FL 1649,110.075,19.706
73,GREEN Flood in Mexico from: 10 Oct 2000 00 to: 17 Oct 2000 23.,GREEN,1.0,GREEN,1.0,Mexico ,2000-10-10 00:00:00,2000-10-17 23:59:59,4.39,DFO,MEX,0.0,1500.0,FL 1647,-93.006,18.057
74,GREEN Flood in Brazil from: 12 Oct 2000 00 to: 15 Oct 2000 23.,GREEN,1.0,GREEN,1.0,Brazil ,2000-10-12 00:00:00,2000-10-15 23:59:59,4.61,DFO,BRA,6.0,5000.0,FL 1648,-50.941,-29.902
75,GREEN Flood in UK from: 11 Oct 2000 00 to: 14 Oct 2000 23.,GREEN,1.0,GREEN,1.0,UK ,2000-10-11 00:00:00,2000-10-14 23:59:59,4.33,DFO,GBR,0.0,1000.0,FL 1646,0.223,51.097
76,GREEN Flood in Belize from: 01 Oct 2000 00 to: 05 Oct 2000 23.,GREEN,1.0,GREEN,1.0,Belize,2000-10-01 00:00:00,2000-10-05 23:59:59,4.29,DFO,BLZ,14.0,10621.0,FL 1643,-88.4,18.285
77,GREEN Flood in Philippines from: 30 Nov 2000 00 to: 03 Dec 2000 23.,GREEN,1.0,GREEN,1.0,Philippines,2000-11-30 00:00:00,2000-12-03 23:59:59,4.76,DFO,PHL,12.0,70000.0,FL 1673,125.231,8.936
78,GREEN Flood in Indonesia from: 30 Nov 2000 00 to: 03 Dec 2000 23.,GREEN,1.0,GREEN,1.0,Indonesia ,2000-11-30 00:00:00,2000-12-03 23:59:59,4.4,DFO,IDN,14.0,30000.0,FL 1676,124.7,1.168
79,GREEN Flood in Iran from: 30 Nov 2000 00 to: 02 Dec 2000 23.,GREEN,1.0,GREEN,1.0,Iran ,2000-11-30 00:00:00,2000-12-02 23:59:59,5.4,DFO,IRN,0.0,-1.0,FL 1674,48.483,32.627
80,GREEN Flood in Australia from: 17 Nov 2000 00 to: 02 Dec 2000 23.,GREEN,1.0,GREEN,1.0,Australia ,2000-11-17 00:00:00,2000-12-02 23:59:59,6.55,DFO,AUS,0.0,600.0,FL 1667,150.571,-31.193
81,ORANGE Flood in Indonesia from: 21 Nov 2000 00 to: 01 Dec 2000 23.,ORANGE,2.0,ORANGE,2.0,Indonesia,2000-11-21 00:00:00,2000-12-01 23:59:59,6.58,DFO,IDN,243.0,68682.0,FL 1671,99.803,1.581
82,GREEN Flood in Vietnam from: 18 Nov 2000 00 to: 26 Nov 2000 23.,GREEN,1.0,GREEN,1.0,Vietnam ,2000-11-18 00:00:00,2000-11-26 23:59:59,5.65,DFO,VNM,36.0,25000.0,FL 1668,108.567,14.79
83,GREEN Flood in South Africa from: 19 Nov 2000 00 to: 23 Nov 2000 23.,GREEN,1.0,GREEN,1.0,South Africa ,2000-11-19 00:00:00,2000-11-23 23:59:59,5.11,DFO,ZAF,3.0,3000.0,FL 1670,31.95,-27.942
84,ORANGE Flood in Sri Lanka from: 18 Nov 2000 00 to: 22 Nov 2000 23.,ORANGE,2.0,ORANGE,2.0,Sri Lanka ,2000-11-18 00:00:00,2000-11-22 23:59:59,4.58,DFO,LKA,3.0,300000.0,FL 1669,81.311,7.607
85,ORANGE Flood in Southern Somalia from: 20 Nov 2000 00 to: 20 Nov 2000 00.,ORANGE,2.0,Orange,2.0,Southern Somalia ,2000-11-20 00:00:00,2000-11-20 00:00:00,5.75,DFO,   ,0.0,150000.0,FL 1672,42.267,-0.058
86,GREEN Flood in Saudi Arabia from: 15 Nov 2000 00 to: 18 Nov 2000 23.,GREEN,1.0,GREEN,1.0,Saudi Arabia,2000-11-15 00:00:00,2000-11-18 23:59:59,4.64,DFO,SAU,7.0,300.0,FL 1666,39.723,21.5
87,GREEN Flood in Venezuela from: 12 Nov 2000 00 to: 17 Nov 2000 23.,GREEN,1.0,GREEN,1.0,Venezuela ,2000-11-12 00:00:00,2000-11-17 23:59:59,5.67,DFO,VEN,3.0,6000.0,FL 1665,-69.383,10.796
88,GREEN Flood in Canada from: 08 Nov 2000 00 to: 10 Nov 2000 23.,GREEN,1.0,GREEN,1.0,Canada ,2000-11-08 00:00:00,2000-11-10 23:59:59,4.36,DFO,CAN,0.0,-1.0,FL 1664,-97.199,49.617
89,GREEN Flood in USA from: 02 Nov 2000 00 to: 07 Nov 2000 23.,GREEN,1.0,GREEN,1.0,USA,2000-11-02 00:00:00,2000-11-07 23:59:59,4.76,DFO,USA,6.0,-1.0,FL 1661,-99.378,30.601
90,GREEN Flood in Italy from: 05 Nov 2000 00 to: 07 Nov 2000 23.,GREEN,1.0,GREEN,1.0,Italy,2000-11-05 00:00:00,2000-11-07 23:59:59,4.85,DFO,ITA,3.0,30.0,FL 1662,7.74,44.85
91,GREEN Flood in Indonesia from: 05 Nov 2000 00 to: 07 Nov 2000 23.,GREEN,1.0,GREEN,1.0,Indonesia  ,2000-11-05 00:00:00,2000-11-07 23:59:59,4.36,DFO,IDN,21.0,-1.0,FL 1663,109.443,-7.637
92,ORANGE Flood in Philippines from: 03 Nov 2000 00 to: 05 Nov 2000 23.,ORANGE,2.0,ORANGE,2.0,Philippines,2000-11-03 00:00:00,2000-11-05 23:59:59,4.25,DFO,PHL,43.0,668000.0,FL 1660,121.177,14.493
93,GREEN Flood in Taiwan from: 01 Nov 2000 00 to: 04 Nov 2000 23.,GREEN,1.0,GREEN,1.0,Taiwan,2000-11-01 00:00:00,2000-11-04 23:59:59,4.25,DFO,TWN,58.0,-1.0,FL 1658,121.616,24.736
94,GREEN Flood in USA from: 02 Nov 2000 00 to: 03 Nov 2000 23.,GREEN,1.0,GREEN,1.0,USA,2000-11-02 00:00:00,2000-11-03 23:59:59,2.24,DFO,USA,0.0,100.0,FL 1659,-155.099,19.74
95,GREEN Flood in Australia from: 15 Dec 2000 00 to: 09 Jan 2001 23.,GREEN,1.0,GREEN,1.0,Australia ,2000-12-15 00:00:00,2001-01-09 23:59:59,6.77,DFO,AUS,0.0,300.0,FL 1680,141.45,-18.243
96,RED Flood in Tanzania from: 01 Dec 2000 00 to: 31 Dec 2000 23.,RED,3.0,RED,3.0,Tanzania ,2000-12-01 00:00:00,2000-12-31 23:59:59,5.77,DFO,TZA,3600.0,-1.0,FL 1675,33.097,-3.147
97,GREEN Flood in Croatia from: 28 Dec 2000 00 to: 30 Dec 2000 23.,GREEN,1.0,GREEN,1.0,Croatia,2000-12-28 00:00:00,2000-12-30 23:59:59,3.5,DFO,HRV,0.0,2000.0,FL 1682,15.11,44.948
98,ORANGE Flood in Sri Lanka from: 24 Dec 2000 00 to: 28 Dec 2000 23.,ORANGE,2.0,ORANGE,2.0,Sri Lanka,2000-12-24 00:00:00,2000-12-28 23:59:59,4.84,DFO,LKA,5.0,300000.0,FL 1681,81.401,7.946
99,GREEN Flood in Brazil from: 17 Dec 2000 00 to: 26 Dec 2000 23.,GREEN,1.0,GREEN,1.0,Brazil ,2000-12-17 00:00:00,2000-12-26 23:59:59,6.76,DFO,BRA,13.0,2000.0,FL 1679,-44.423,-20.71
100,GREEN Flood in Philippines from: 08 Dec 2000 00 to: 11 Dec 2000 23.,GREEN,1.0,GREEN,1.0,Philippines ,2000-12-08 00:00:00,2000-12-11 23:59:59,3.94,DFO,PHL,11.0,55000.0,FL 1678,122.682,11.382
101,GREEN Flood in Indonesia from: 03 Dec 2000 00 to: 06 Dec 2000 23.,GREEN,1.0,GREEN,1.0,Indonesia,2000-12-03 00:00:00,2000-12-06 23:59:59,3.67,DFO,IDN,9.0,3000.0,FL 1677,116.887,-8.737
102,ORANGE Flood in Mozambique from: 01 Jan 2001 00 to: 27 Apr 2001 23.,ORANGE,2.0,ORANGE,2.0,Mozambique,2001-01-01 00:00:00,2001-04-27 23:59:59,7.37,DFO,MOZ,146.0,485000.0,FL 1683,33.562,-16.202
103,ORANGE Flood in Bolivia from: 01 Jan 2001 00 to: 22 Mar 2001 23.,ORANGE,2.0,ORANGE,2.0,Bolivia,2001-01-01 00:00:00,2001-03-22 23:59:59,6.94,DFO,BOL,18.0,300000.0,FL 1689,-67.148,-14.906
104,GREEN Flood in Portugal from: 26 Jan 2001 00 to: 29 Jan 2001 23.,GREEN,1.0,GREEN,1.0,Portugal ,2001-01-26 00:00:00,2001-01-29 23:59:59,4.91,DFO,PRT,6.0,300.0,FL 1691,-7.667,40.804
105,GREEN Flood in Malaysia from: 16 Jan 2001 00 to: 21 Jan 2001 23.,GREEN,1.0,GREEN,1.0,Malaysia ,2001-01-16 00:00:00,2001-01-21 23:59:59,5.02,DFO,MYS,2.0,5000.0,FL 1688,102.631,5.386
106,GREEN Flood in Tanzania from: 20 Jan 2001 00 to: 20 Jan 2001 23.,GREEN,1.0,GREEN,1.0,Tanzania ,2001-01-20 00:00:00,2001-01-20 23:59:59,4.4,DFO,TZA,13.0,120.0,FL 1690,30.355,-5.236
107,GREEN Flood in Philippines from: 15 Jan 2001 00 to: 15 Jan 2001 23.,GREEN,1.0,GREEN,1.0,Philippines ,2001-01-15 00:00:00,2001-01-15 23:59:59,2.93,DFO,PHL,2.0,12000.0,FL 1687,123.05,10.759
