description,alertlevel,alertscore,episodealertscore,country,fromdate,todate,severity (ha),iso3,GDACS ID,People affected,Duration (days),longitude,latitude
Green Forest fires in India from: 26 Feb 2021 to: 07 Mar 2021.,Green,1.0,1.0,India,2021-02-26,2021-03-07,15691.0,IND,WF 1000122,5342.0,9.0,84.40133360405112,19.89418329988957
Green Forest fires in India from: 27 Feb 2021 to: 07 Mar 2021.,Green,1.0,1.0,India,2021-02-27,2021-03-07,7068.0,IND,WF 1000109,20453.0,8.0,85.6707405545642,22.587898752955507
Green Forest fires in India from: 27 Feb 2021 to: 07 Mar 2021.,Green,1.0,1.0,India,2021-02-27,2021-03-07,5391.0,IND,WF 1000110,0.0,8.0,82.58239173984906,19.673438882152286
Green Forest fires in India from: 26 Feb 2021 to: 07 Mar 2021.,Green,1.0,1.0,India,2021-02-26,2021-03-07,6185.0,IND,WF 1000111,0.0,9.0,85.50452640639134,21.380095548412292
Green Forest fires in India from: 26 Feb 2021 to: 07 Mar 2021.,Green,1.0,1.0,India,2021-02-26,2021-03-07,5879.0,IND,WF 1000112,3.0,9.0,77.85607577362146,14.135363626098572
Green Forest fires in India from: 26 Feb 2021 to: 07 Mar 2021.,Green,1.0,1.0,India,2021-02-26,2021-03-07,5377.0,IND,WF 1000113,185.0,9.0,84.63311194846368,20.13184644656365
Green Forest fires in India from: 26 Feb 2021 to: 07 Mar 2021.,Green,1.0,1.0,India,2021-02-26,2021-03-07,24499.0,IND,WF 1000114,14839.0,9.0,84.44320280130376,20.198751530000028
Green Forest fires in India from: 26 Feb 2021 to: 05 Mar 2021.,Green,1.0,1.0,India,2021-02-26,2021-03-05,5040.0,IND,WF 1000115,0.0,7.0,87.45736791100488,24.449796441258435
Green Forest fires in India from: 26 Feb 2021 to: 05 Mar 2021.,Green,1.0,1.0,India,2021-02-26,2021-03-05,5122.0,IND,WF 1000116,3470.0,7.0,85.48085517576035,21.76850986253654
Green Forest fires in India from: 26 Feb 2021 to: 05 Mar 2021.,Green,1.0,1.0,India,2021-02-26,2021-03-05,5524.0,IND,WF 1000117,0.0,7.0,82.31552368946043,20.021522985605703
Green Forest fires in India from: 26 Feb 2021 to: 05 Mar 2021.,Green,1.0,1.0,India,2021-02-26,2021-03-05,13310.0,IND,WF 1000123,6461.0,7.0,82.55492315484643,20.32659740228631
Green Forest fires in The Democratic Republic of Congo from: 25 Feb 2021 to: 05 Mar 2021.,Green,1.0,1.0,The Democratic Republic of Congo,2021-02-25,2021-03-05,5376.0,COD,WF 1000124,1766.0,8.0,26.3315211947415,3.032740486239429
Green Forest fires in The Democratic Republic of Congo from: 27 Feb 2021 to: 05 Mar 2021.,Green,1.0,1.0,The Democratic Republic of Congo,2021-02-27,2021-03-05,5071.0,COD,WF 1000108,6909.0,6.0,24.44338514758659,0.49374688188473986
"Green Forest fires in Central African Republic, The Democratic Republic of Congo from: 25 Feb 2021 to: 05 Mar 2021.",Green,1.0,1.0,"Central African Republic, The Democratic Republic of Congo",2021-02-25,2021-03-05,6619.0,CAF,WF 1000129,739.0,8.0,22.49366580301363,4.264809565822456
Green Forest fires in The Democratic Republic of Congo from: 25 Feb 2021 to: 05 Mar 2021.,Green,1.0,1.0,The Democratic Republic of Congo,2021-02-25,2021-03-05,5250.0,COD,WF 1000130,785.0,8.0,28.07086288460058,2.19895046849192
Green Forest fires in India from: 25 Feb 2021 to: 05 Mar 2021.,Green,1.0,1.0,India,2021-02-25,2021-03-05,9826.0,IND,WF 1000131,0.0,8.0,86.38724510932315,22.32524639205981
Green Forest fires in India from: 24 Feb 2021 to: 05 Mar 2021.,Green,1.0,1.0,India,2021-02-24,2021-03-05,5340.0,IND,WF 1000132,3610.0,9.0,77.64546749550678,14.038543481589167
Green Forest fires in India from: 24 Feb 2021 to: 05 Mar 2021.,Green,1.0,1.0,India,2021-02-24,2021-03-05,6063.0,IND,WF 1000133,0.0,9.0,86.50870936529395,22.408185761377155
Green Forest fires in India from: 24 Feb 2021 to: 05 Mar 2021.,Green,1.0,1.0,India,2021-02-24,2021-03-05,13903.0,IND,WF 1000134,22150.0,9.0,86.34126667948969,22.53535372264942
Green Forest fires in The Democratic Republic of Congo from: 24 Feb 2021 to: 05 Mar 2021.,Green,1.0,1.0,The Democratic Republic of Congo,2021-02-24,2021-03-05,7690.0,COD,WF 1000135,0.0,9.0,29.61083218602478,3.5829464878462756
Green Forest fires in The Democratic Republic of Congo from: 22 Feb 2021 to: 05 Mar 2021.,Green,1.0,1.0,The Democratic Republic of Congo,2021-02-22,2021-03-05,5857.0,COD,WF 1000146,4348.0,11.0,23.796363628998463,2.801513774177706
Green Forest fires in India from: 22 Feb 2021 to: 05 Mar 2021.,Green,1.0,1.0,India,2021-02-22,2021-03-05,8127.0,IND,WF 1000147,0.0,11.0,85.24649212484907,21.376840496843972
Green Forest fires in The Democratic Republic of Congo from: 22 Feb 2021 to: 05 Mar 2021.,Green,1.0,1.0,The Democratic Republic of Congo,2021-02-22,2021-03-05,10113.0,COD,WF 1000148,724.0,11.0,24.924360161535123,2.3849608856736353
Green Forest fires in The Democratic Republic of Congo from: 22 Feb 2021 to: 05 Mar 2021.,Green,1.0,1.0,The Democratic Republic of Congo,2021-02-22,2021-03-05,7004.0,COD,WF 1000149,2535.0,11.0,23.73423784736906,4.468487630718867
Green Forest fires in The Democratic Republic of Congo from: 20 Feb 2021 to: 05 Mar 2021.,Green,1.0,1.0,The Democratic Republic of Congo,2021-02-20,2021-03-05,5181.0,COD,WF 1000150,92.0,13.0,27.52333051347674,4.7352159878481075
Green Forest fires in The Democratic Republic of Congo from: 20 Feb 2021 to: 05 Mar 2021.,Green,1.0,1.0,The Democratic Republic of Congo,2021-02-20,2021-03-05,22550.0,COD,WF 1000151,5920.0,13.0,28.56863774828356,2.5961548322378682
"Green Forest fires in The Democratic Republic of Congo, Central African Republic from: 24 Feb 2021 to: 05 Mar 2021.",Green,1.0,1.0,"The Democratic Republic of Congo, Central African Republic",2021-02-24,2021-03-05,7237.0,COD,WF 1000138,1409.0,9.0,22.77772150671302,4.685074908603419
Green Forest fires in India from: 24 Feb 2021 to: 05 Mar 2021.,Green,1.0,1.0,India,2021-02-24,2021-03-05,5152.0,IND,WF 1000139,0.0,9.0,78.87813939772967,16.238231393031644
Green Forest fires in India from: 25 Feb 2021 to: 05 Mar 2021.,Green,1.0,1.0,India,2021-02-25,2021-03-05,20349.0,IND,WF 1000126,212.0,8.0,84.247410432243,19.81296200804108
Green Forest fires in India from: 27 Feb 2021 to: 05 Mar 2021.,Green,1.0,1.0,India,2021-02-27,2021-03-05,6275.0,IND,WF 1000106,201.0,6.0,84.63128064837059,21.546067844049823
Green Forest fires in India from: 26 Feb 2021 to: 05 Mar 2021.,Green,1.0,1.0,India,2021-02-26,2021-03-05,6464.0,IND,WF 1000120,460.0,7.0,82.36542679466015,20.428322026099018
Green Forest fires in Nigeria from: 19 Feb 2021 to: 05 Mar 2021.,Green,1.0,1.0,Nigeria,2021-02-19,2021-03-05,7941.0,NGA,WF 1000157,7499.0,14.0,5.40262319162201,7.717118689547457
Green Forest fires in The Democratic Republic of Congo from: 19 Feb 2021 to: 05 Mar 2021.,Green,1.0,1.0,The Democratic Republic of Congo,2021-02-19,2021-03-05,6585.0,COD,WF 1000158,2240.0,14.0,23.676326152377783,3.7393173328821945
Green Forest fires in The Democratic Republic of Congo from: 20 Feb 2021 to: 05 Mar 2021.,Green,1.0,1.0,The Democratic Republic of Congo,2021-02-20,2021-03-05,5306.0,COD,WF 1000155,0.0,13.0,30.49389494432089,3.740260086701395
Green Forest fires in The Democratic Republic of Congo from: 23 Feb 2021 to: 05 Mar 2021.,Green,1.0,1.0,The Democratic Republic of Congo,2021-02-23,2021-03-05,7576.0,COD,WF 1000141,3080.0,10.0,27.539696023469737,2.3915939670650728
Green Forest fires in The Democratic Republic of Congo from: 20 Feb 2021 to: 05 Mar 2021.,Green,1.0,1.0,The Democratic Republic of Congo,2021-02-20,2021-03-05,25753.0,COD,WF 1000153,1517.0,13.0,29.312163716323983,2.974350637093939
Green Forest fires in The Democratic Republic of Congo from: 23 Feb 2021 to: 04 Mar 2021.,Green,1.0,1.0,The Democratic Republic of Congo,2021-02-23,2021-03-04,5523.0,COD,WF 1000140,786.0,9.0,25.333895392967033,2.151561826238482
Green Forest fires in Central African Republic from: 26 Feb 2021 to: 04 Mar 2021.,Green,1.0,1.0,Central African Republic,2021-02-26,2021-03-04,5097.0,CAF,WF 1000119,0.0,6.0,23.363108320541603,5.652323078463067
Green Forest fires in Thailand from: 20 Feb 2021 to: 02 Mar 2021.,Green,1.0,1.0,Thailand,2021-02-20,2021-03-02,8254.0,THA,WF 1000152,0.0,10.0,101.4202970005147,16.808225995008154
Green Forest fires in The Democratic Republic of Congo from: 25 Feb 2021 to: 01 Mar 2021.,Green,1.0,1.0,The Democratic Republic of Congo,2021-02-25,2021-03-01,6657.0,COD,WF 1000125,0.0,4.0,28.78900371342466,0.2897670794444628
GREEN Forest fires in Nepal from: 25 Mar 2021 to: 29 Apr 2021.,GREEN,1.0,1.0,Nepal,2021-03-25,2021-04-29,11976.0,NPL,WF 1000377,6476.0,35.0,83.07092632538917,28.137416623881236
Green Forest fires in India from: 22 Mar 2021 to: 29 Apr 2021.,Green,1.0,1.0,India,2021-03-22,2021-04-29,46221.0,IND,WF 1000205,170150.0,38.0,83.73578468580365,24.816932588361812
Green Forest fires in India from: 25 Mar 2021 to: 28 Apr 2021.,Green,1.0,1.0,India,2021-03-25,2021-04-28,12134.0,IND,WF 1000204,18876.0,34.0,84.96344731300886,24.356080737031323
Green Forest fires in India from: 22 Mar 2021 to: 27 Apr 2021.,Green,1.0,1.0,India,2021-03-22,2021-04-27,33007.0,IND,WF 1000195,9041.0,36.0,83.1084683097759,24.256354938600882
GREEN Forest fires in India from: 26 Mar 2021 to: 27 Apr 2021.,GREEN,1.0,1.0,India,2021-03-26,2021-04-27,7034.0,IND,WF 1000376,1400.0,32.0,79.41167220049722,24.484609385811208
Green Forest fires in Nepal from: 18 Mar 2021 to: 20 Apr 2021.,Green,1.0,1.0,Nepal,2021-03-18,2021-04-20,11025.0,NPL,WF 1000170,245.0,33.0,87.48914709991523,26.952320583524966
Green Forest fires in Laos from: 17 Mar 2021 to: 18 Apr 2021.,Green,1.0,1.0,Laos,2021-03-17,2021-04-18,7440.0,LAO,WF 1000089,0.0,32.0,106.19836506837984,14.761853440764337
Green Forest fires in Nepal from: 16 Mar 2021 to: 16 Apr 2021.,Green,1.0,1.0,Nepal,2021-03-16,2021-04-16,58755.0,NPL,WF 1000095,33676.0,31.0,84.74045429141235,27.65038330111849
Green Forest fires in India from: 28 Mar 2021 to: 16 Apr 2021.,Green,1.0,1.0,India,2021-03-28,2021-04-16,5206.0,IND,WF 1000037,7025.0,19.0,77.65093975873754,30.381806901504632
Green Forest fires in China from: 30 Mar 2021 to: 15 Apr 2021.,Green,1.0,1.0,China,2021-03-30,2021-04-15,10020.0,CHN,WF 1000029,14156.0,16.0,124.76618457379503,44.03461609605167
Green Forest fires in Mali from: 31 Mar 2021 to: 14 Apr 2021.,Green,1.0,1.0,Mali,2021-03-31,2021-04-14,6439.0,MLI,WF 1000026,3.0,14.0,-4.648142888786718,14.48452126368858
Green Forest fires in Cambodia from: 08 Mar 2021 to: 13 Apr 2021.,Green,1.0,1.0,Cambodia,2021-03-08,2021-04-13,7037.0,KHM,WF 1000104,0.0,36.0,106.59799700245779,14.076137587609947
GREEN Forest fires in India from: 25 Mar 2021 to: 12 Apr 2021.,GREEN,1.0,1.0,India,2021-03-25,2021-04-12,21944.0,IND,WF 1000378,21061.0,18.0,84.46854856765766,23.538976704444476
Green Forest fires in India from: 31 Mar 2021 to: 12 Apr 2021.,Green,1.0,1.0,India,2021-03-31,2021-04-12,5259.0,IND,WF 1000027,0.0,12.0,79.42696034759238,14.06100838487198
Green Forest fires in India from: 25 Mar 2021 to: 12 Apr 2021.,Green,1.0,1.0,India,2021-03-25,2021-04-12,5130.0,IND,WF 1000055,148.0,18.0,76.30807070023047,22.263882881030064
Green Forest fires in India from: 24 Mar 2021 to: 11 Apr 2021.,Green,1.0,1.0,India,2021-03-24,2021-04-11,8947.0,IND,WF 1000061,5005.0,18.0,80.1571890129816,22.87433496378556
Green Forest fires in India from: 27 Mar 2021 to: 10 Apr 2021.,Green,1.0,1.0,India,2021-03-27,2021-04-10,5727.0,IND,WF 1000044,1728.0,14.0,79.16315090889645,14.788052242710329
Green Forest fires in The Democratic Republic of Congo from: 28 Mar 2021 to: 09 Apr 2021.,Green,1.0,1.0,The Democratic Republic of Congo,2021-03-28,2021-04-09,5454.0,COD,WF 1000038,163.0,12.0,20.279294108379183,2.319761147600022
Green Forest fires in China from: 25 Mar 2021 to: 09 Apr 2021.,Green,1.0,1.0,China,2021-03-25,2021-04-09,5590.0,CHN,WF 1000054,3603.0,15.0,125.2072899184273,43.40442641808047
GREEN Forest fires in China from: 30 Mar 2021 to: 09 Apr 2021.,GREEN,1.0,1.0,China,2021-03-30,2021-04-09,8154.0,CHN,WF 1000369,9627.0,10.0,124.59137742952578,44.15133985493223
GREEN Forest fires in India from: 27 Mar 2021 to: 08 Apr 2021.,GREEN,1.0,1.0,India,2021-03-27,2021-04-08,11149.0,IND,WF 1000373,0.0,12.0,80.45202977231027,23.600026924430292
Green Forest fires in India from: 21 Mar 2021 to: 08 Apr 2021.,Green,1.0,1.0,India,2021-03-21,2021-04-08,32727.0,IND,WF 1000075,461.0,18.0,79.77117848239497,20.317845370692627
Green Forest fires in Viet Nam from: 21 Mar 2021 to: 08 Apr 2021.,Green,1.0,1.0,Viet Nam,2021-03-21,2021-04-08,5109.0,VNM,WF 1000078,976.0,18.0,105.76760346998205,10.846470563431424
Green Forest fires in India from: 24 Mar 2021 to: 08 Apr 2021.,Green,1.0,1.0,India,2021-03-24,2021-04-08,14538.0,IND,WF 1000062,612.0,15.0,81.96153983993236,20.503925005718738
Green Forest fires in India from: 27 Mar 2021 to: 08 Apr 2021.,Green,1.0,1.0,India,2021-03-27,2021-04-08,7223.0,IND,WF 1000040,0.0,12.0,80.75039965734388,25.076278017409084
Green Forest fires in India from: 27 Mar 2021 to: 08 Apr 2021.,Green,1.0,1.0,India,2021-03-27,2021-04-08,6910.0,IND,WF 1000045,0.0,12.0,79.13405324130312,21.592887678548863
Green Forest fires in India from: 26 Mar 2021 to: 08 Apr 2021.,Green,1.0,1.0,India,2021-03-26,2021-04-08,5246.0,IND,WF 1000049,0.0,13.0,78.3040799136296,23.31781559920118
Green Forest fires in India from: 30 Mar 2021 to: 07 Apr 2021.,Green,1.0,1.0,India,2021-03-30,2021-04-07,5733.0,IND,WF 1000030,0.0,8.0,80.11644614768224,23.776902266205678
Green Forest fires in India from: 29 Mar 2021 to: 07 Apr 2021.,Green,1.0,1.0,India,2021-03-29,2021-04-07,5219.0,IND,WF 1000031,0.0,9.0,80.58487166656198,22.616391530987084
Green Forest fires in India from: 21 Mar 2021 to: 07 Apr 2021.,Green,1.0,1.0,India,2021-03-21,2021-04-07,5475.0,IND,WF 1000079,0.0,17.0,82.87206869993722,20.897855578814887
Green Forest fires in India from: 23 Mar 2021 to: 06 Apr 2021.,Green,1.0,1.0,India,2021-03-23,2021-04-06,5122.0,IND,WF 1000070,0.0,14.0,80.12581329672223,18.594671866337567
Green Forest fires in India from: 23 Mar 2021 to: 06 Apr 2021.,Green,1.0,1.0,India,2021-03-23,2021-04-06,10574.0,IND,WF 1000066,0.0,14.0,81.04442903215462,18.192487578270637
Green Forest fires in India from: 18 Mar 2021 to: 06 Apr 2021.,Green,1.0,1.0,India,2021-03-18,2021-04-06,5829.0,IND,WF 1000087,7329.0,19.0,82.07603646517163,20.73446560694765
Green Forest fires in India from: 29 Mar 2021 to: 06 Apr 2021.,Green,1.0,1.0,India,2021-03-29,2021-04-06,5042.0,IND,WF 1000033,0.0,8.0,80.40376416918184,21.77815872241369
Green Forest fires in India from: 28 Mar 2021 to: 06 Apr 2021.,Green,1.0,1.0,India,2021-03-28,2021-04-06,5810.0,IND,WF 1000034,0.0,9.0,88.6541275113219,25.420277578826166
Green Forest fires in India from: 26 Mar 2021 to: 06 Apr 2021.,Green,1.0,1.0,India,2021-03-26,2021-04-06,7589.0,IND,WF 1000047,802.0,11.0,80.1730772020521,24.778700624634034
Green Forest fires in India from: 25 Mar 2021 to: 06 Apr 2021.,Green,1.0,1.0,India,2021-03-25,2021-04-06,10122.0,IND,WF 1000057,0.0,12.0,84.54928796537746,24.216261342109885
GREEN Forest fires in India from: 26 Mar 2021 to: 06 Apr 2021.,GREEN,1.0,1.0,India,2021-03-26,2021-04-06,14049.0,IND,WF 1000374,247.0,11.0,80.09221311045467,20.570081945611513
Green Forest fires in India from: 22 Mar 2021 to: 05 Apr 2021.,Green,1.0,1.0,India,2021-03-22,2021-04-05,7229.0,IND,WF 1000074,0.0,14.0,83.20536356331736,21.50861590607631
GREEN Forest fires in United States from: 27 Mar 2021 to: 05 Apr 2021.,GREEN,1.0,1.0,United States,2021-03-27,2021-04-05,8437.0,USA,WF 1000372,33.0,9.0,-95.79034797301456,36.815231777473336
GREEN Forest fires in India from: 23 Mar 2021 to: 05 Apr 2021.,GREEN,1.0,1.0,India,2021-03-23,2021-04-05,11324.0,IND,WF 1000380,15942.0,13.0,82.47591608886093,23.59883174340112
Green Forest fires in India from: 25 Mar 2021 to: 05 Apr 2021.,Green,1.0,1.0,India,2021-03-25,2021-04-05,6876.0,IND,WF 1000058,0.0,11.0,80.47657988213986,24.133932341720293
Green Forest fires in India from: 25 Mar 2021 to: 05 Apr 2021.,Green,1.0,1.0,India,2021-03-25,2021-04-05,6822.0,IND,WF 1000059,71853.0,11.0,83.51715025566692,24.011981496843063
Green Forest fires in India from: 26 Mar 2021 to: 05 Apr 2021.,Green,1.0,1.0,India,2021-03-26,2021-04-05,5562.0,IND,WF 1000052,0.0,10.0,80.97093093213188,21.83149372753216
Green Forest fires in India from: 25 Mar 2021 to: 05 Apr 2021.,Green,1.0,1.0,India,2021-03-25,2021-04-05,5365.0,IND,WF 1000053,17844.0,11.0,83.91133565761403,24.39098001032644
Green Forest fires in India from: 26 Mar 2021 to: 05 Apr 2021.,Green,1.0,1.0,India,2021-03-26,2021-04-05,7558.0,IND,WF 1000048,13116.0,10.0,83.25771396680702,24.901706008497243
Green Forest fires in India from: 27 Mar 2021 to: 05 Apr 2021.,Green,1.0,1.0,India,2021-03-27,2021-04-05,5906.0,IND,WF 1000042,0.0,9.0,83.05496564658475,23.883015410192403
Green Forest fires in Mexico from: 31 Mar 2021 to: 05 Apr 2021.,Green,1.0,1.0,Mexico,2021-03-31,2021-04-05,6347.0,MEX,WF 1000028,3115.0,5.0,-99.54228417655308,17.036579660528435
Green Forest fires in Nigeria from: 23 Mar 2021 to: 05 Apr 2021.,Green,1.0,1.0,Nigeria,2021-03-23,2021-04-05,5257.0,NGA,WF 1000068,838.0,13.0,7.819909399014338,5.244728602009179
Green Forest fires in India from: 24 Mar 2021 to: 05 Apr 2021.,Green,1.0,1.0,India,2021-03-24,2021-04-05,6455.0,IND,WF 1000064,4419.0,12.0,83.20613698478984,24.514827211775284
Green Forest fires in India from: 21 Mar 2021 to: 05 Apr 2021.,Green,1.0,1.0,India,2021-03-21,2021-04-05,6379.0,IND,WF 1000076,0.0,15.0,80.38394589188516,22.810339282908362
Green Forest fires in India from: 23 Mar 2021 to: 04 Apr 2021.,Green,1.0,1.0,India,2021-03-23,2021-04-04,5027.0,IND,WF 1000071,5639.0,12.0,75.94395642389108,23.041867220137583
Green Forest fires in India from: 22 Mar 2021 to: 04 Apr 2021.,Green,1.0,1.0,India,2021-03-22,2021-04-04,5230.0,IND,WF 1000073,930.0,13.0,82.87485052608925,24.230999882450256
Green Forest fires in India from: 27 Mar 2021 to: 04 Apr 2021.,Green,1.0,1.0,India,2021-03-27,2021-04-04,5654.0,IND,WF 1000043,4649.0,8.0,79.62848001752197,20.543900411385216
Green Forest fires in India from: 27 Mar 2021 to: 04 Apr 2021.,Green,1.0,1.0,India,2021-03-27,2021-04-04,6787.0,IND,WF 1000046,47.0,8.0,78.85329810822621,21.778939525538185
Green Forest fires in Mexico from: 25 Mar 2021 to: 04 Apr 2021.,Green,1.0,1.0,Mexico,2021-03-25,2021-04-04,9736.0,MEX,WF 1000056,3172.0,10.0,-99.59025609625712,16.786831217072933
Green Forest fires in India from: 25 Mar 2021 to: 04 Apr 2021.,Green,1.0,1.0,India,2021-03-25,2021-04-04,6150.0,IND,WF 1000060,0.0,10.0,83.59289783021342,23.656931819373025
GREEN Forest fires in Mexico from: 27 Mar 2021 to: 04 Apr 2021.,GREEN,1.0,1.0,Mexico,2021-03-27,2021-04-04,6763.0,MEX,WF 1000371,13448.0,8.0,-99.77271573245714,17.003140036401398
Green Forest fires in Myanmar from: 15 Mar 2021 to: 03 Apr 2021.,Green,1.0,1.0,Myanmar,2021-03-15,2021-04-03,5258.0,MMR,WF 1000097,0.0,19.0,94.13385850457708,23.592780155903192
Green Forest fires in China from: 26 Mar 2021 to: 03 Apr 2021.,Green,1.0,1.0,China,2021-03-26,2021-04-03,5628.0,CHN,WF 1000050,0.0,8.0,103.72108059390517,24.085612506718363
Green Forest fires in India from: 23 Mar 2021 to: 03 Apr 2021.,Green,1.0,1.0,India,2021-03-23,2021-04-03,6239.0,IND,WF 1000072,1946.0,11.0,93.0903146121477,22.33928956284063
Green Forest fires in India from: 23 Mar 2021 to: 03 Apr 2021.,Green,1.0,1.0,India,2021-03-23,2021-04-03,12063.0,IND,WF 1000067,0.0,11.0,79.5677008516264,19.73732329374558
Green Forest fires in Thailand from: 20 Mar 2021 to: 03 Apr 2021.,Green,1.0,1.0,Thailand,2021-03-20,2021-04-03,5809.0,THA,WF 1000081,0.0,14.0,100.45941070113177,17.474035691769963
Green Forest fires in Mexico from: 20 Mar 2021 to: 02 Apr 2021.,Green,1.0,1.0,Mexico,2021-03-20,2021-04-02,5359.0,MEX,WF 1000083,0.0,13.0,-104.70228210166273,23.231707820423026
Green Forest fires in Myanmar from: 19 Mar 2021 to: 02 Apr 2021.,Green,1.0,1.0,Myanmar,2021-03-19,2021-04-02,5182.0,MMR,WF 1000085,0.0,14.0,98.26676941422488,21.54879794268959
Green Forest fires in Myanmar from: 17 Mar 2021 to: 02 Apr 2021.,Green,1.0,1.0,Myanmar,2021-03-17,2021-04-02,6155.0,MMR,WF 1000091,0.0,16.0,99.0818711663419,21.687100730419015
Green Forest fires in The Democratic Republic of Congo from: 23 Mar 2021 to: 02 Apr 2021.,Green,1.0,1.0,The Democratic Republic of Congo,2021-03-23,2021-04-02,5264.0,COD,WF 1000069,976.0,10.0,22.995768544466113,1.6919053665984118
Green Forest fires in India from: 24 Mar 2021 to: 02 Apr 2021.,Green,1.0,1.0,India,2021-03-24,2021-04-02,5353.0,IND,WF 1000063,0.0,9.0,82.03860220409415,18.15265081596115
Green Forest fires in Myanmar from: 29 Mar 2021 to: 02 Apr 2021.,Green,1.0,1.0,Myanmar,2021-03-29,2021-04-02,5034.0,MMR,WF 1000032,0.0,4.0,97.36269976914038,23.29690798470287
Green Forest fires in United States from: 28 Mar 2021 to: 02 Apr 2021.,Green,1.0,1.0,United States,2021-03-28,2021-04-02,11411.0,USA,WF 1000035,1.0,5.0,-96.53358994324942,37.802852442008394
GREEN Forest fires in India from: 24 Mar 2021 to: 02 Apr 2021.,GREEN,1.0,1.0,India,2021-03-24,2021-04-02,9958.0,IND,WF 1000379,0.0,9.0,83.89588249547889,23.092858161262154
GREEN Forest fires in United States from: 28 Mar 2021 to: 01 Apr 2021.,GREEN,1.0,1.0,United States,2021-03-28,2021-04-01,6330.0,USA,WF 1000370,5.0,4.0,-94.29249369719723,34.82934978696287
Green Forest fires in India from: 26 Mar 2021 to: 01 Apr 2021.,Green,1.0,1.0,India,2021-03-26,2021-04-01,7269.0,IND,WF 1000051,670.0,6.0,80.68754337479456,24.35270231910686
Green Forest fires in Russian Federation from: 29 Apr 2021 to: 16 Jun 2021.,Green,1.0,1.0,Russian Federation,2021-04-29,2021-06-16,209068.0,RUS,WF 1000398,0.0,48.0,68.26795106274784,57.16799246154107
Green Forest fires in Russian Federation from: 25 Apr 2021 to: 04 Jun 2021.,Green,1.0,1.0,Russian Federation,2021-04-25,2021-06-04,72313.0,RUS,WF 1000251,19.0,40.0,68.94404781419999,57.51283668074246
Green Forest fires in Russian Federation from: 25 Apr 2021 to: 30 May 2021.,Green,1.0,1.0,Russian Federation,2021-04-25,2021-05-30,49295.0,RUS,WF 1000305,8.0,35.0,68.06562441687734,57.62106928507139
Green Forest fires in Russian Federation from: 29 Apr 2021 to: 18 May 2021.,Green,1.0,1.0,Russian Federation,2021-04-29,2021-05-18,172353.0,RUS,WF 1000315,0.0,19.0,68.22186349020508,57.13873058852044
GREEN Forest fires in Russian Federation from: 29 Apr 2021 to: 16 May 2021.,GREEN,1.0,1.0,Russian Federation,2021-04-29,2021-05-16,160376.0,RUS,WF 1000314,0.0,17.0,68.20375416832856,57.13237406469379
