active_satellites,inactive_satellites,debris_objects,average_altitude,orbital_velocity,launch_frequency,collision_alerts,solar_activity,orbital_region,traffic_density,congestion
2858,2921,9642,17516.01487792763,7.274975906578234,2.323499670934348,14,178.68181772407047,1,0.6455931268802702,1
434,2269,18709,33110.316434503184,6.24004810613925,6.512422878047948,76,100.6609742133342,3,0.32633984370448543,0
457,1759,12771,22090.04799591239,3.0263040500463037,10.264743578357884,96,134.48913818317263,1,0.016597476071579464,0
4443,474,13872,14131.333272072285,1.7959737140141006,4.051655001957086,43,240.47971594983443,1,0.8938366269991089,1
3939,1065,2887,32870.27079651451,1.3810280740480656,11.530665280708769,46,160.47257036670527,3,0.6364432600461112,0
4085,115,7462,33488.37730810085,7.420556315020086,13.705664676860012,31,156.3877231728327,2,0.0013793388740429569,1
4103,537,17069,9662.395872376388,5.378897965348929,12.999200909634265,35,131.98866251381796,3,0.6796756291256861,1
999,2496,15951,14283.580099112618,2.1239122136543003,8.850249859765878,48,161.3679954014511,3,0.21637547782131805,1
432,309,1754,34799.22038773084,5.770233744135624,15.386382411204583,52,246.91345487943556,3,0.9636194031255808,1
906,2307,4108,19569.543061267457,7.992235012927829,6.390448215826813,22,100.76138109178592,2,0.4448562806026035,1
2241,1408,5758,15656.473781325265,6.516191942735307,9.385538688322999,33,238.38557896986202,1,0.2231877811818309,1
118,1204,1381,7195.482362864111,4.125726148918149,5.4030977652761685,17,79.81419687539955,3,0.03024885439795877,1
2212,2528,17659,13962.91046285733,6.699236694300999,12.072571801313154,11,72.22107270931117,3,0.05872791632400465,0
2955,1960,12639,22798.203145009873,6.21014677337289,8.8141406649724,86,180.9338991486328,1,0.05643034317056206,0
4547,960,18491,1585.501076579026,1.620572384557824,4.3422549309910625,1,100.23580493381439,1,0.031489639896358446,1
1327,486,10778,3182.365066711828,7.479876377136264,6.163699097218192,26,138.87846126148537,3,0.5484808922418056,1
4919,1558,1596,392.47529985062073,7.188722735578131,5.58936153694513,49,195.9309537155675,3,0.8466105953726557,0
2904,1703,7529,8037.598575944181,5.133916661046427,18.218254393086653,30,156.96830063261947,3,0.34605367718474267,1
4308,1167,4617,6751.142199403466,4.557044439960015,10.439085508916701,47,52.74986986610588,1,0.34873928811578914,1
4737,2940,17596,30658.914978458106,2.5941896324488667,13.053116769243156,85,111.16864659460734,3,0.10405380404994291,0
2132,761,8722,6831.521209502591,6.84120522726982,18.694675474037076,68,62.937333958455845,2,0.0011848857714963357,1
3930,1293,19767,23870.28072591762,4.0232048670623275,3.6443559053800567,16,235.22291001114058,1,0.9517551691961171,1
3663,174,12206,4437.256997392469,5.055146838478096,18.73787514395358,42,208.9297186833606,2,0.45769939319210395,0
1535,1295,18344,21449.43977562942,2.1906123948053695,10.792744198373533,70,246.7683367352822,1,0.7373892378628814,0
3407,1105,10710,15795.201430997045,2.4967593073330523,17.124284185065047,17,227.02190248834955,3,0.8682097523932091,0
1812,1560,11465,14830.318543026191,7.89640926957,3.3599110980083857,65,145.06640413126695,1,0.11196519514368852,0
704,2784,4649,30864.915758109226,4.457999789281955,5.458717584242554,30,226.51950344210735,1,0.2626233620105458,1
3340,2873,4153,6204.356911405459,6.710200148823959,3.8834205915482523,62,184.4877226656544,3,0.501980216905418,0
2256,2942,16980,21508.81006616544,6.808110017748033,13.068435674756804,27,154.91993127820018,1,0.2973851188512603,0
4500,1790,9576,29622.733200864066,7.870572314143801,2.8152280509180083,66,124.12920918357675,3,0.053270819921032664,1
256,746,9221,25757.506245300996,7.880328108390201,15.850451027865057,8,186.1932351872809,3,0.8928614934649253,1
1764,594,4219,35403.78039699078,4.198687927339858,5.008725823283977,96,168.02668459079092,1,0.24984162313919644,1
2430,1582,12410,275.3903776000833,7.6522426426272485,5.109509239589927,27,172.83699651663164,2,0.07278050183472307,0
3211,2332,16762,31860.06345970934,3.5581809363815244,5.622425927819437,91,129.9662662314008,3,0.4223344073796991,1
1835,828,6961,22161.558553886854,5.253473888066642,14.927761909000301,17,197.86302285798868,3,0.8044003063797441,0
2281,2099,14181,288.94619741775904,6.751987009758373,18.484319032193376,14,66.26855352674556,3,0.16844818045496324,0
4850,2424,7718,16864.678805171567,7.396505761417273,18.150200283209543,74,195.23179255584157,3,0.43689329424131185,1
2457,2140,16850,27674.258101576448,4.666874569576685,2.0250844202145,88,196.15226272139122,2,0.1855247941543966,0
3584,1564,6930,6735.1716849660725,3.9250162068020984,5.248738066173557,4,153.18867907627552,3,0.818117675966149,1
4028,790,5245,24489.48309814375,6.099626375478839,13.44363931846557,40,102.65663005369706,2,0.5228405924056077,1
3401,720,4167,5200.129447889777,4.1914929785538355,12.371012815155655,90,153.85530288127393,2,0.5783735481870703,0
1214,2050,5910,28963.597308669312,5.702610005540641,7.00058129811133,75,74.61723708520948,3,0.7475485674018437,0
4282,2545,912,20550.988585900308,6.629532355246579,17.256866468293037,73,107.028755077411,1,0.939703432664139,0
3939,2021,10961,1413.142165424159,6.887890874050974,2.6093255023707185,72,134.25997571885512,2,0.10579893027816645,1
4765,2431,9563,3453.3503282113315,2.7801982917774497,12.780637561704255,65,184.64675699801268,1,0.8455535694100279,1
4906,2025,11524,31126.36877815175,5.000206847277538,5.461689513827423,72,87.44335355100807,3,0.4742286700121505,1
2544,2378,18389,1381.450730597082,1.175239843420134,10.543492441034623,50,81.63415034647281,1,0.6405000623230723,0
3431,1782,595,10887.825040414498,6.5842934812093326,7.749731408983688,15,171.55927243355583,1,0.8527757131866426,1
277,2971,17108,20495.445575188412,1.8756662110525215,19.594701988552522,64,185.90910820060418,3,0.32665196647165085,0
4578,2423,10264,7841.14413744787,7.101791503508755,9.733845475491943,84,66.73115056266201,1,0.8695308401331007,1
807,578,12109,8227.511533320987,3.8476672341010283,19.521867855787928,56,56.63263669392033,3,0.6314176043177556,0
3686,446,13778,27982.017617097175,2.1708779447614557,5.100418334207344,36,79.42997028023318,1,0.27901055633006766,1
3219,271,16113,10617.606118371355,6.57070440079826,15.358818645630844,38,230.2053403214495,2,0.9197929130326054,1
4344,642,2201,1581.2695912524355,2.40200470923413,14.341162503846189,64,184.52770703747518,3,0.057834568469520176,1
117,2965,8829,26016.160440224598,3.760902715725441,16.95290574924202,48,234.20518220304484,1,0.5905444927827878,1
2628,1972,19259,34366.3013098197,4.968133373517463,13.872149275181298,46,182.94296063343344,2,0.0168674169842854,0
3414,1078,11617,29983.236362609216,3.5202095697639835,13.647181962410848,39,243.0474481446144,2,0.08167648358065627,1
3789,643,15575,19838.520655207325,2.2532011973214376,13.214155145572342,13,137.78133409299159,1,0.10017034891977694,1
221,301,5190,15410.838358863353,3.8426565722760144,19.70103144152844,39,169.81978764556902,1,0.8942651529793527,0
2586,2864,19565,33320.913117784876,2.009710594119108,4.561955521557291,47,170.2370902410819,1,0.5587027789342909,1
1518,638,13127,27630.870691791715,6.03408823816691,0.6022736971882381,31,50.62798329211242,2,0.26001125748518295,1
2762,2530,10229,20629.52923621312,2.2005347502317805,13.55941728867835,87,55.490892072071475,3,0.3906354768510749,1
2845,1899,16606,31697.639017102512,4.376677754592715,3.446755399711192,38,79.0530421624561,1,0.838048073254532,1
834,1517,12029,21741.30261250422,4.9226477758641245,13.587678603219436,32,152.22591103085134,2,0.5701148036193924,1
4545,1704,9557,35051.467100155416,7.615468575478042,6.39370821659401,29,136.1053040814342,1,0.03162856085747834,0
1545,981,2905,30926.799122964665,1.54780847870631,0.8670343481297582,25,157.94981177656743,2,0.8712275302445261,0
3552,2393,11539,19905.93925889911,7.513186925130171,15.395359844481609,42,210.09815879986985,1,0.5384640315099133,0
2507,2263,680,33237.53630422235,2.457584501276966,1.0329634967764867,54,214.44805570573152,1,0.1961940691121159,0
1774,1240,6134,12459.314541890246,6.886553852478332,4.482766312700459,43,245.4029707110071,1,0.7152068422239803,0
4232,948,15395,25293.187364584133,1.6334667792437259,6.728172675903544,77,161.50956001077932,1,0.5338916798369632,0
537,1555,5884,6331.666580410287,7.920916640977236,2.654989011620008,75,119.44309779302624,1,0.18933966447672235,0
274,2272,702,32254.063959088384,6.653429270221837,18.27138321786252,2,111.60554097470626,3,0.6500881260886847,0
1606,132,10571,9080.195366012558,1.4406576954357173,12.4367298183361,6,118.14831532871426,2,0.6414044988007597,1
4309,572,10872,34175.36391623516,2.4987773040241086,17.50791893612876,84,114.76592038574553,1,0.9547220604357406,1
3474,2088,1620,808.2941730397315,4.8398149518242874,13.64104125915153,57,128.5839949110788,1,0.26426431202102785,1
4349,2751,16877,24609.76090316312,4.665004077982595,19.838908120073235,90,64.97628422714261,1,0.5483682665089453,0
519,862,4458,5572.0108753157165,5.404884420692525,10.503055977213187,9,176.6864947095272,2,0.32102664270512904,0
3149,1558,593,27795.050704237714,4.244546740108694,1.0752648259064923,9,163.60824461520977,2,0.29818046741410964,0
4125,1827,17357,17810.23230450922,6.13915014057368,3.21717288715363,99,142.3921785142884,3,0.5056413555921396,0
3982,2997,710,32765.479041797236,3.4393992262244333,11.768653239374274,80,66.22105808270537,2,0.7148596011684303,0
2464,2013,19374,25799.477707778282,2.2347078574906796,6.954570781152869,41,68.64173856176224,1,0.6048136933941096,1
1724,122,8790,27703.922393616187,1.2364563951400642,2.2578560193056707,33,159.02103505034972,2,0.1173353826166349,1
4281,1094,7848,4513.161416650777,3.2733592895474093,4.762794838372977,81,57.31607339396631,1,0.9223768689125312,1
1323,1205,7337,3656.8913300760764,3.988151828274565,9.491414607350233,25,194.95778612658506,3,0.708744049351721,0
2723,2350,17444,30649.965845683848,5.6134810036162195,10.363637404326862,59,248.75562842639994,3,0.579326599589828,1
2564,2702,8067,8282.703600254214,6.645194423568274,18.691625176067216,1,169.48137977804717,3,0.14423476080844888,1
4399,2029,3843,31236.51737363459,2.6804396112273237,1.8135849661351178,72,194.6862964056819,3,0.1348886332905841,0
650,1479,13834,5302.865321699663,4.452418019885226,7.15614900334802,44,137.7871984861916,1,0.293460274348045,1
3823,2348,607,11242.555847406382,2.6361371057183387,10.120984227822568,4,183.4824661964684,2,0.923095064484829,1
4143,1485,6296,33448.84650751592,7.658157441109069,2.265351619443916,25,180.35606465971824,1,0.14697362782508694,0
2195,484,18955,30261.898424316732,5.532827297800254,13.75604046553349,78,214.81817917960603,3,0.6546667581810768,0
4843,1011,19707,2141.886651817438,5.745316805012022,10.300561826345415,24,192.26791707593992,1,0.6448760841685469,1
1942,1142,18655,16241.890868208859,4.718569045498467,9.190238353968416,25,199.80990880668122,3,0.0919464326609668,1
583,943,19384,32773.26874874126,2.972808382755708,13.121611476641796,91,161.32719875752042,2,0.7073360200358642,1
3043,2792,10334,728.3307480790811,2.403009166574675,5.756293820880243,86,146.90298718550756,2,0.4762164389727275,0
4917,794,2662,4042.037626299975,5.596518598580935,6.786542033651886,84,141.74329875613142,3,0.5007559482058523,0
2767,1697,1451,23298.012684630816,7.451950294929694,3.2539699664163457,21,128.402184126217,2,0.005490841075032171,0
2488,2792,14693,3958.408687902689,2.490255879159429,10.474519367419324,18,103.2055526646985,2,0.8967980674285488,1
1191,220,3167,16268.40939082669,5.002350340614128,7.4481750749836255,9,56.6622087555944,2,0.610370017791205,0
2517,1258,10300,18380.05559262396,4.70527480257898,5.206617278514678,41,184.21912656109757,2,0.6045279903815486,0
1221,2402,19527,30997.095473551977,5.491571675009528,2.494844155087037,99,230.19223894514312,1,0.38911682327547537,0
2117,1487,16678,34474.59136627521,5.114529602781238,0.4645040853032101,30,236.09648752428458,2,0.7017648196579092,0
2311,1457,14414,18537.867936519742,2.9095622471255087,3.8670454288250244,30,166.11234134027234,1,0.8330275397682947,1
3016,2692,13800,18470.899517038364,5.840091842032109,4.948523936528407,98,68.82732165223871,3,0.49500606168183403,1
701,105,4841,26219.273117926634,2.908618692958183,9.7087261349726,74,225.73286140849123,1,0.5450831757638718,1
3246,2369,1310,7091.7368760022855,5.570955758385249,4.819932469154724,80,199.54897646851393,2,0.20835400726175246,0
1152,981,1510,33882.73575490419,3.099533471674438,16.353069873349696,96,100.28221084303605,1,0.3532030981744907,0
622,2118,14185,242.92149542348372,1.5769592062229636,9.482577802569859,85,210.7089881807699,3,0.46816083178946866,0
2365,2862,8013,264.22054858790784,1.8905631361235589,12.476215286335066,89,144.4015896140074,1,0.6612747666716123,1
4313,2781,13458,22598.85575255983,6.8386737320642865,4.158766889580344,35,227.5186223344654,1,0.9317432337007358,1
1310,2096,16354,12425.151983651504,1.8494868278317307,8.322562579487169,65,99.52218655279022,2,0.13707954297867087,1
4451,2199,8689,14452.525602670428,3.3135925451271526,12.05554713929028,31,210.18118412546468,1,0.5290334675291192,0
312,1378,18734,8127.450895692542,3.013492260043433,6.220917758647735,66,192.3820631535022,3,0.6109626389976198,1
4267,841,1641,14799.325827466326,1.4050179638476623,6.723948178120541,62,52.888234479736454,2,0.8254977359778104,1
1933,2496,9398,29841.796534532292,5.19663673360827,16.148503670838817,22,162.6669217691374,2,0.8435771862207732,1
2970,2417,4530,25233.130245212244,6.59149829613302,16.74362740646965,49,193.1068555915153,1,0.6606879021981275,1
3125,2552,8041,3588.604459181803,7.946308508524552,10.6588186484366,64,81.28215773054607,1,0.19462778820367965,1
1385,2764,14964,2229.1382235682518,7.552224594858123,17.92821510618205,68,156.37978709145867,1,0.7798118108622146,1
1400,1770,4576,18321.702149671524,1.3452827817155522,14.733640059926786,43,110.81558204907762,2,0.5785498820982448,1
859,1696,17650,26339.762488516084,2.802560889879646,1.1060317177860157,57,189.25058299551526,1,0.9613339006890892,0
2579,717,1600,23988.708673651774,3.8848278307101305,11.189468940362984,56,158.02796257729034,2,0.9532163414972903,1
3079,1951,10162,31135.306034695783,7.125100431542218,13.955865948137365,36,174.291598864333,3,0.5516633414990123,0
309,2971,3997,4970.873319342427,3.5205934484546595,10.817696630570488,64,64.5079674643241,2,0.9433607828347471,0
992,498,10386,21885.944400224525,4.992186407424309,16.639517006355593,17,77.55902803960164,2,0.025734421397003993,0
1342,2488,14592,27623.320794414092,5.617150982819178,6.01674259736142,4,160.4178361380934,2,0.915504609389127,0
4112,2764,18356,33774.700211478405,3.0857111559976,1.3095826629482232,81,86.23457640480045,3,0.9645575684127283,0
2078,1723,14362,3811.6127383720514,5.073583809495597,12.672410575702555,98,149.7382342417596,2,0.9790757481145589,1
3255,106,4893,8779.178255839946,1.3561985377748873,14.61601226091606,95,188.00585978553502,1,0.7779975862699072,1
2682,2171,13167,12894.37327143045,4.361282988498478,15.305077365823287,25,211.95434178148568,1,0.18066070181292115,0
1503,668,666,19558.865216863087,3.6497501698568913,0.22121046871182326,32,78.60136120163061,2,0.9746577352999906,0
4188,826,11101,14828.316559748546,3.4902821816670904,13.467564966498685,41,198.3757734320552,1,0.4279552257858519,1
1215,2467,3306,31027.998767743247,2.6442502951774034,0.41455568604364945,87,122.63721688654381,1,0.47123230482538314,0
1820,636,5052,34228.86437617721,6.724139652237863,15.495720332158916,26,185.78659399894056,3,0.015126012680594103,0
520,1579,17742,2708.8158945452133,7.173461031913135,14.062102812631899,53,79.05692652623053,1,0.34332792845934146,0
4275,1541,9616,25248.566636613883,7.216899337402123,11.348278072838806,82,153.0350363459778,3,0.2571450194673559,0
4633,582,19116,4290.984811207377,3.7727488867999215,10.126488119508942,81,217.51245509895372,1,0.4498145064219846,1
333,2713,9406,32346.794510940057,2.8141290860448906,14.302157261005362,78,71.28628393029413,2,0.26918487080938436,0
409,1209,3324,5287.127855338526,1.688886048018864,1.1439061671391948,90,215.5361516381143,2,0.4472815848225967,0
2153,2650,16534,35696.10126605426,5.706853685025907,16.643787346430944,74,140.5536791494878,3,0.14756596290740254,1
901,901,13728,15513.457587248333,3.311174355641681,4.024523758102685,23,214.65432054448684,3,0.9520270285877378,1
4263,2047,10142,13873.340398896993,2.9366638562925864,9.555777262516841,2,241.6775420072802,3,0.6641299241153291,1
624,1892,6328,21188.841340078925,3.6000668400310785,9.735988494815997,38,81.93052186030559,3,0.9884533346974541,1
2860,2910,3459,14317.960426425903,4.883065749734281,15.542470660822472,70,184.9139218785494,2,0.004817682612547669,1
2100,1487,4687,8602.031119109319,2.133476838622221,3.8598214080050286,11,97.0192907738121,1,0.8358120606456861,1
521,1160,13021,22723.349622153277,7.729362843715867,5.994994778781317,32,77.11085507403534,2,0.08427093578997025,0
2865,385,1469,26275.416828450427,6.1282986617839255,13.262159212654868,21,175.61651920946971,3,0.7738437063094515,1
328,606,3078,34042.513466253295,1.3274996448085241,8.25543482624077,34,71.59672648972185,1,0.9224713405332751,0
3074,725,5613,14846.446151330418,3.1475144992764186,5.977272461124872,13,143.0345140248076,2,0.1406792518015475,1
3537,2902,17671,25466.671091984277,1.3519070601819927,12.42846444946476,25,177.19086806990018,1,0.9561459318705028,1
1590,1311,9711,30043.00589220126,2.606424395591029,1.7314438051286873,82,149.9261455922646,2,0.43626213765057387,0
822,229,2153,29963.540608075902,3.0061362293390133,15.795571438378854,84,189.41385547439634,1,0.34420775013832183,0
927,2047,1760,1426.8709611563668,6.02585809554294,10.494984344685891,53,210.28240059330508,3,0.7957659110876022,1
3162,2451,3862,12934.143057152272,6.0311789884039415,4.1204101861744675,40,224.44928454957898,1,0.8530787285568,0
2416,2874,5980,680.3772581526842,1.317277160425242,8.170318346011548,44,161.97445114651467,3,0.8365195608880742,1
1218,635,3625,20215.06116197763,5.116893527863886,2.621536025563238,30,105.32609418025123,2,0.6240222344197787,1
4367,326,7171,31170.23725439489,7.726374418347786,12.331622258587027,68,151.93237363047947,2,0.2961998672332654,0
1094,1835,4645,29374.065600672497,5.398555317084269,13.386012626367554,98,127.53772147638168,1,0.27654538912834326,1
3565,757,11538,29242.734702886763,7.723831280216759,8.105718562013456,16,95.18511791663504,1,0.22865544933861404,0
2096,1911,15773,12795.728722581998,3.663913818788841,6.79380976495276,59,155.81346530475602,3,0.14647328932857584,0
1058,2471,12276,1858.6016425814041,4.218448038065496,16.995694982823103,95,54.530972550660394,1,0.39257458023515956,1
3494,2155,10698,6372.554435203734,4.46840558397521,11.521384874222171,3,171.112979891309,1,0.8560482402999942,1
4445,155,15054,24210.750652492658,7.4676296629351056,13.340425440903005,9,214.3207586714123,1,0.9961723274321523,0
2046,1696,5875,4991.572041920185,3.6619673699485524,2.5503822680389687,93,249.8871441076955,1,0.6935946804963083,1
2933,2698,11564,4686.755565583439,7.883928858568625,14.266505885231576,8,234.33581495280114,1,0.15615163479219818,1
1158,373,15483,12861.573560235563,4.801882246004022,8.892215490461952,60,67.96318321555728,1,0.6735630516580412,0
4576,1220,2737,3584.3468398775694,2.5268450577356845,7.333368455740683,89,82.48587593974325,1,0.27535841590135834,1
3781,1950,6467,12006.272288795493,1.7258163401803988,18.58808399297603,21,77.72892457198701,3,0.71763439642425,1
738,2805,1983,34914.99700334716,2.2101092514061764,1.0786797439194151,20,161.6703105681401,3,0.23628586055458978,0
2143,1221,7523,914.2496944945681,1.2749792004436782,3.9121280979890294,22,59.187193236888525,1,0.16406499718242284,1
4918,2914,14491,29933.432498417464,5.846171772854829,7.500801721740833,60,237.39854677564384,2,0.634474076701198,1
3726,1334,14000,35771.6555359145,4.618329260541269,6.480801942447898,11,62.367334057232206,2,0.685151236309881,0
339,1677,7690,15823.308813412075,6.165467247892627,10.213677000876478,94,128.25011106853188,1,0.18477204307785577,1
2971,664,796,33961.38220100115,6.475834851730231,8.018041051219251,16,228.79396350020883,1,0.5120080207827162,1
2302,1156,15163,9548.98629148959,7.5195420830335555,15.765781176805012,54,239.67566409854345,1,0.8806492067601014,0
1271,2424,16522,35366.24338472193,1.8189882938218123,15.360011063331347,20,143.05815710516433,3,0.6848166996689398,1
817,1567,2275,31043.536931765968,2.3027227088319027,15.447495520738997,53,147.68630942955338,1,0.6758802497365326,0
3924,1777,16894,31872.173007534573,4.837920250803199,7.387091051560248,46,177.2354187392885,3,0.7235538794215266,0
1240,2948,11258,4868.261245569256,1.9066701901962682,8.147369555228982,40,131.5277603636302,2,0.35002191825038087,1
4303,526,5742,31348.234558866665,1.6490520855365238,14.409238570350508,96,114.9322608826914,3,0.2059457910050133,0
138,395,5039,33917.263066012114,5.664363191930622,2.4839673277386165,14,197.88540242931862,3,0.7335017414447982,1
1677,661,9591,29521.917651779833,6.072980610379841,17.038392343172852,95,169.07166093645634,2,0.8119408826811959,1
2881,2626,11697,3470.8320322457316,6.903803450263064,10.825164756263883,58,146.33421891938568,3,0.8958062741556364,0
147,2722,9722,3235.003440115979,7.410226748692672,16.97090440889831,98,70.15746702303235,3,0.7952389802956525,1
2494,209,13225,13002.294571831742,4.0974961125821885,15.872059618714264,14,63.77232400098733,1,0.34608912547599757,1
934,961,8139,25436.33888965719,7.859120367468012,7.487661707509583,28,152.16304508769318,2,0.4669727572615333,1
3649,1443,8116,645.8112483845379,1.2652089489180973,2.0311941999807392,10,173.8863439701962,3,0.77990973881372,0
4963,2744,10453,34233.1177138512,7.090893354120892,18.416604816199605,28,181.50234481937548,1,0.5375948845910702,0
2952,2261,7259,19011.083726860914,3.2503310064924187,6.892106994331799,85,228.9780215843944,2,0.5571564212766161,1
1035,1786,9306,13029.733448071445,7.452001514896405,7.474833811139751,89,213.2449727249342,2,0.9425452906553687,0
3156,648,14666,20291.995665021506,2.558230709161956,18.180970020982535,81,78.15244777409,2,0.9576081645678092,1
883,1707,13447,25825.14584092253,6.1869555811349946,18.346944058371776,88,208.88619176998046,2,0.7612158930382047,1
3091,2285,5283,9983.39134082433,3.9781974322191376,5.258123737885039,84,185.26062862928148,3,0.809566711113859,1
4213,2676,10643,10622.226570757499,3.6702538801800317,1.779125612921304,87,215.60577889233505,2,0.26447828715345134,0
3298,982,8987,16960.73122686221,1.4159361590040285,0.022160524609302623,55,218.67091964878185,2,0.5938165751353129,1
3503,379,7160,24183.520010854725,5.941382087021965,8.765889692439128,91,119.10651675991211,2,0.4779256521863383,1
909,276,1021,25488.057990200254,2.227469322076385,11.371468032547686,52,102.65377261180879,3,0.04104808757688638,1
1853,845,16343,11801.22769136632,4.240952177335691,5.406760062642935,2,160.52680565042726,1,0.8835351967971531,1
1082,2389,4115,11745.197828245582,1.9891567991859262,5.1949930219763285,12,109.72153760942514,3,0.29571237742842627,0
1183,2689,14768,17638.493112996224,5.23134472692402,7.1357009079594835,37,119.93706800587091,3,0.9317678006158234,0
1059,1700,2120,19600.79688145931,2.617428643036291,5.261702059068201,69,63.83201308394886,3,0.6364990864084794,1
1826,2228,1004,23449.026030825928,5.160775715818883,17.168768091044882,10,248.27274503867002,2,0.8130488034265246,1
2919,1919,7949,22314.00660485612,7.626310462678596,12.856847822256087,22,111.85939188416631,1,0.45876919689461837,0
3795,112,8586,13536.140247439496,7.446429502684876,16.578936657644658,72,206.01466394466684,2,0.18741489791886046,1
743,1820,16312,10828.547091540648,2.4032505137629867,17.20956499211025,55,248.6316589280716,1,0.8747196541775767,1
3778,543,6698,11223.578642499844,1.6942992662221852,8.700198920122787,16,243.8252033207901,1,0.7826278134241573,1
3995,237,5243,23305.357865784365,1.298627716348968,9.551548972599464,8,176.77663005081808,3,0.7545438745936843,1
359,1316,19686,15706.682446852337,6.79953233773611,19.556391973852893,82,157.73228999671346,3,0.21278987468398836,1
1255,2538,10465,5009.707170223454,2.7451530758158533,16.336798247277017,98,111.85529896896387,3,0.5216473653270756,1
3407,930,8747,412.04551671984603,2.9875615504910824,15.957886416522184,95,222.301345363552,1,0.3226282640282476,1
3942,1603,12951,1262.449633550895,2.583716948442059,11.674264145452877,91,117.5990288708676,1,0.612776656511185,0
2202,1752,3036,31257.085226146384,6.880587686553734,9.223005190932057,27,71.34475915460408,3,0.5324274465928306,0
3880,554,10747,16590.214167420887,7.8523139678441165,17.892213932964406,78,108.8196782686149,3,0.17738226866696827,1
1206,649,646,23735.89390295218,6.286306556510247,16.0911392317442,18,113.01946522181746,3,0.6237300214824921,1
4705,2457,10878,33459.54236141218,6.7650450232843315,10.335778146689387,96,193.69707447163609,1,0.038176098258074,1
