name,epoch,inclination_deg,raan_deg,eccentricity,arg_perigee_deg,mean_anomaly_deg,mean_motion_rev_per_day,altitude_km,orbit_type
SCD 1,2026-04-02 22:27:25.930656,24.9703,312.1993,0.0042075,61.73,323.3158,14.4608477,745.6019155781805,LEO
UFO 2 (USA 95),2026-04-01 07:32:51.649152,11.8722,3.9725,0.0009117,359.977,327.6334,1.00277047,35792.2568960806,GEO
STELLA,2026-04-02 22:24:32.067936,98.7791,156.8921,0.0007492,95.4968,80.9562,14.2746838,807.3425122196504,LEO
EYESAT A (AO-27),2026-04-02 09:52:42.850848,98.6935,159.8341,0.0007668,329.4898,30.5837,14.30921189,795.790315683168,LEO
ITAMSAT (IO-26),2026-04-02 21:40:07.771872,98.6883,160.2354,0.0007916,309.3696,50.6785,14.31346378,794.3709568003842,LEO
USA 99 (MILSTAR-1 1),2026-04-02 08:24:38.560320,17.5059,28.5278,0.0004032,332.9129,225.4369,1.00273066,35793.37285421209,GEO
RADIO ROSTO (RS15),2026-04-02 21:47:00.295584,64.8163,64.9609,0.0153592,17.5388,343.0759,11.27583862,2029.451077375723,MEO
UFO 4 (USA 108),2026-04-02 14:11:38.933376,9.6954,13.4772,0.000347,352.9861,209.7707,1.00268998,35794.513276558624,GEO
TDRS 7,2026-04-02 17:26:51.678528,13.4089,348.7084,0.0009294,55.1377,137.9474,1.00268784,35794.57327141292,GEO
USA 115 (MILSTAR-1 2),2026-04-01 10:05:27.602304,14.0463,4.3204,0.0003938,354.5502,222.3022,1.00275542,35792.6787705918,GEO
POLAR,2026-03-31 05:51:59.787072,79.7777,227.9483,0.6391582,211.7339,85.2867,1.29845737,29119.875338489794,MEO
INMARSAT 3-F1,2026-04-01 16:14:55.881024,10.444,47.3254,0.0004827,300.6996,68.3197,1.00000801,35869.870108312214,GEO
USA 119,2026-04-02 22:26:12.526944,63.3234,28.9958,0.0847437,48.0193,318.9928,13.46014064,1094.0967873068112,LEO
JAS-2 (FO-29),2026-04-02 12:38:40.780032,98.534,311.7179,0.0348942,292.8487,63.6161,13.53270274,1067.3877428193218,LEO
INMARSAT 3-F2,2026-04-02 14:23:36.984768,9.6876,54.6916,0.0006381,322.6487,253.561,0.99983955,35874.61466769054,GEO
INMARSAT 3-F3,2026-04-02 19:10:38.758080,10.1574,50.3601,0.0005654,297.3142,253.2839,0.99990128,35872.875930291084,GEO
NAVSTAR 43 (USA 132),2026-04-02 10:01:09.653376,55.953,101.5359,0.0098904,56.1368,304.8371,2.00563984,20189.314269033275,MEO
FORTE,2026-04-02 17:18:15.424704,69.9538,184.4736,0.0021011,13.8876,346.282,14.2791232,805.8545970861305,LEO
AMC-3,2026-04-02 22:42:36.137376,7.9629,64.9312,0.0003342,306.1336,88.8651,1.00270858,35793.99183494384,GEO
USA 134,2026-04-02 09:20:38.695200,12.6957,22.2856,0.0006478,321.1055,235.0661,1.00270567,35794.07341426172,GEO
ORBCOMM FM06,2026-04-02 15:45:39.282624,45.0141,56.2625,0.0002596,290.9629,238.7895,14.47360124,741.4207308045843,LEO
INMARSAT 3-F5,2026-04-02 08:57:49.523904,9.5259,53.9986,0.0005311,319.7201,257.4692,1.0027345,35793.26520770806,GEO
ORBCOMM FM04,2026-04-02 12:22:12.389088,107.9605,13.7142,0.0038494,98.877,261.6731,14.35582928,780.2668591189486,LEO
CELESTIS-02 & TAURUS R/B,2026-04-02 22:34:17.811552,108.0036,180.4111,0.0063763,261.6933,193.1711,14.22461264,824.1779981565014,LEO
TECHSAT 1B (GO-32),2026-04-02 21:41:44.875104,99.0052,83.7742,0.0002328,80.4696,279.6745,14.24412963,817.6040476316148,LEO
WESTPAC,2026-04-02 21:27:45.566496,99.0099,77.1771,0.0002338,76.9195,283.2244,14.23048982,822.1967935706598,LEO
ORBCOMM FM19,2026-04-02 10:10:35.298624,44.9931,243.6471,0.0003144,271.2763,118.0203,14.39338441,767.8220824075743,LEO
ORBCOMM FM20,2026-04-02 16:53:50.216352,44.9935,249.4177,7.59e-05,227.2175,132.8609,14.37947933,772.423542505021,LEO
ORBCOMM FM27,2026-04-02 22:25:00.964416,45.0067,332.7402,7.5e-05,330.9894,29.0913,14.38995686,768.9556368072281,LEO
SCD 2,2026-04-02 22:21:05.645376,24.9941,176.2512,0.0016988,48.3556,110.369,14.45496282,747.5333171600942,LEO
ISS (ZARYA),2026-04-02 20:14:17.914560,51.6328,312.9475,0.0006235,264.7845,95.2432,15.48729122,427.5797774363846,LEO
SWAS,2026-04-02 22:18:01.897632,69.8962,61.5148,0.0006004,335.5911,24.4968,15.09078916,546.1502146800931,LEO
ISS (UNITY),2026-04-02 20:14:17.914560,51.6328,312.9475,0.0006235,264.7845,95.2432,15.48729122,427.5797774363846,LEO
DLR-TUBSAT,2026-04-02 22:14:41.455680,98.6683,85.9629,0.001349,215.3733,144.6568,14.52406835,724.9353813913622,LEO
CXO,2026-04-05 07:55:45.219936,54.9818,118.8093,0.7953036,310.647,0.0525,0.3780544,74420.49476969306,GEO
ABS-6,2026-04-02 19:56:51.567360,0.0427,95.2869,0.0002946,291.9947,262.0902,1.00272311,35793.58450494092,GEO
NAVSTAR 46 (USA 145),2026-04-02 11:51:00.893376,51.532,298.7785,0.0106383,172.4708,174.2113,2.00566273,20189.112185621827,MEO
UFO 10 (USA 146),2026-04-01 04:15:38.750976,9.8452,27.6133,0.000448,319.3998,243.4473,1.00268147,35794.75185548999,GEO
ORBCOMM FM32,2026-04-02 22:22:46.968384,45.0145,169.417,0.000409,32.9659,327.1443,14.37017287,775.5073751288792,LEO
XMM-NEWTON,2026-04-03 13:16:23.486304,64.8601,283.9465,0.4699148,66.2414,359.9491,0.50131113,60565.594022797784,GEO
TERRA,2026-04-02 21:53:08.350944,97.9542,145.4152,0.0003661,101.6649,70.5638,14.61041892,696.9488134012427,LEO
ASIASTAR,2026-04-02 20:41:38.831136,8.9569,58.9477,0.0005032,322.3538,225.3318,1.00272538,35793.52086927699,GEO
IMAGE,2026-03-31 14:30:42.811488,94.1669,314.3364,0.7490495,296.6472,7.4469,1.68665432,23440.542836561373,MEO
USA 149 (DSP 20),2026-04-02 12:04:55.634880,13.1149,12.3872,0.0001676,344.9955,209.4746,1.002668,35795.129495550165,GEO
TDRS 8,2026-04-02 20:35:38.789376,12.5666,31.9511,0.0005866,329.0912,223.9503,1.00270886,35793.98398540829,GEO
ISS (ZVEZDA),2026-04-02 20:14:17.914560,51.6328,312.9475,0.0006235,264.7845,95.2432,15.48729122,427.5797774363846,LEO
NAVSTAR 48 (USA 151),2026-04-02 17:54:28.705248,54.8684,218.1571,0.0122143,302.5173,229.5971,2.00569305,20188.84451268273,MEO
CLUSTER II-FM7 (SAMBA),2026-03-31 00:54:20.014560,149.3581,38.1493,0.8953066,254.4502,0.4223,0.44796982,65778.94490422831,GEO
CLUSTER II-FM8 (TANGO),2026-04-04 02:38:42.458496,149.6827,39.5653,0.896198,255.7725,0.4513,0.44400055,66208.31013589085,GEO
NSS-11,2026-04-02 20:33:00.928800,1.9325,82.2672,0.0003096,291.3004,301.8729,1.00272971,35793.399485614675,GEO
USA 153,2026-04-02 04:52:38.722944,11.4962,36.0403,0.0003402,17.6494,344.5068,1.00275355,35792.73119028807,GEO
AMC-6,2026-04-02 14:43:40.464192,0.0595,56.0456,0.0003641,328.9276,251.8369,1.00273155,35793.34790483098,GEO
NAVSTAR 49 (USA 154),2026-04-02 05:24:40.295232,55.5816,97.9527,0.0173937,265.9888,173.3101,2.0056921,20188.85289943039,MEO
ISS (DESTINY),2026-04-02 20:14:17.914560,51.6328,312.9475,0.0006235,264.7845,95.2432,15.48729122,427.5797774363846,LEO
ODIN,2026-04-02 20:21:27.665568,97.4011,129.9207,0.0004652,90.5907,269.5884,15.61096533,391.6254595971168,LEO
USA 157 (MILSTAR-2 2),2026-04-02 12:56:38.851584,11.4609,20.2275,0.003739,180.6704,34.237,1.00279564,35791.55136607806,GEO
BSAT-2A,2026-04-02 14:29:51.626400,10.5746,48.1743,0.0004561,239.3099,333.6527,0.99177996,36103.17534059651,GEO
OMNI-M1,2026-04-02 07:10:16.480704,44.8633,262.75,0.001694,37.5963,322.525,3.92401908,10608.090938657544,MEO
USA 159 (DSP 21),2026-04-02 12:21:41.011200,12.711,16.9458,3.55e-05,328.4935,231.9276,0.99201027,36096.60107675225,GEO
INTELSAT 902 (IS-902),2026-04-02 21:11:12.265440,5.928,72.6872,0.0004503,297.5503,88.6929,1.00272416,35793.55506991234,GEO
PCSAT (NO-44),2026-04-02 15:44:08.527200,67.0494,79.6262,0.0006843,264.5876,95.4446,14.31924623,792.4417962028147,LEO
PROBA-1,2026-04-02 23:47:03.492096,97.9629,98.9058,0.0055873,19.0082,341.3213,15.07189019,551.9313833643009,LEO
TIMED,2026-04-02 22:28:09.945408,74.0713,26.5151,0.000268,244.6698,115.4209,14.95110134,589.1679264521217,LEO
MAROC-TUBSAT,2026-04-02 22:54:22.758048,99.804,268.403,0.001951,337.7185,150.2949,13.70259262,1005.7773771074035,LEO
COSMOS 2385,2026-04-02 23:50:15.092736,82.5316,267.9389,0.0006819,50.183,108.7712,12.60563963,1427.7545093086865,LEO
COSMOS 2386,2026-04-02 21:52:22.892448,82.5394,262.3552,6.73e-05,116.9916,243.1243,12.61615331,1423.421175697782,LEO
USA 164 (MILSTAR-2 3),2026-04-02 00:10:38.724960,11.0884,22.3647,0.0099753,4.6365,184.9606,1.00270169,35794.184990737456,GEO
INTELSAT 904 (IS-904),2026-04-02 19:33:51.602112,6.7332,70.0764,0.0007422,325.0163,58.0463,1.00273241,35793.323796475306,GEO
AQUA,2026-04-02 21:57:40.760640,98.4216,60.7289,0.0001328,115.958,320.2119,14.62035894,693.7449013726327,LEO
DIRECTV 5 (TEMPO 1),2026-04-02 20:54:06.406272,4.6864,76.2337,0.0003723,306.2024,12.1948,1.00272573,35793.51105763211,GEO
INTELSAT 905 (IS-905),2026-04-02 13:55:35.141376,6.565,70.6977,0.0003236,312.3122,239.6048,1.0027299,35793.3941593308,GEO
GALAXY 3C (G-3C),2026-04-02 20:58:28.486848,3.5367,79.0119,0.000153,20.9542,311.0045,1.00271682,35793.7608358544,GEO
COSMOS 2390,2026-04-02 23:05:46.906080,82.4868,31.9842,0.0026661,63.4284,296.9524,12.44620798,1494.2127045488814,LEO
COSMOS 2391,2026-04-02 22:02:09.178656,82.487,28.5761,0.0027481,57.8974,302.4769,12.44943539,1492.8533195785767,LEO
INTELSAT 906 (IS-906),2026-04-02 21:57:21.504672,5.6123,73.8321,0.0003327,308.3218,202.5833,1.00271822,35793.72158875073,GEO
LATINSAT B,2026-04-02 19:06:54.451584,64.5528,121.7131,0.0086355,284.6965,74.4579,14.76915255,646.2151193294794,LEO
SAUDISAT 1C (SO-50),2026-04-02 21:31:05.379456,64.5557,1.9028,0.0075445,276.2114,83.0401,14.82879462,627.3867833969598,LEO
LATINSAT A,2026-04-02 16:25:44.815872,64.5545,196.0634,0.005605,259.3299,100.1494,14.85333565,619.6760597787925,LEO
NIMIQ 2,2026-04-02 14:08:01.970880,9.273,57.6796,0.0006577,315.6646,280.4004,1.00272362,35793.57020792062,GEO
CORIOLIS,2026-04-02 22:33:42.083424,98.7157,100.9671,0.0015102,71.424,288.8575,14.19922793,832.7509116296624,LEO
SORCE,2026-04-02 22:45:56.313216,39.992,330.8062,0.0018287,234.9804,124.9274,15.03292507,563.8889787678263,LEO
NAVSTAR 51 (USA 166),2026-04-02 08:02:55.567968,54.8996,217.9811,0.0148489,52.8797,318.1338,2.00564702,20189.250880288622,MEO
USA 167,2026-04-02 10:34:39.661248,10.8132,44.0758,0.0005601,300.909,242.4849,1.00269739,35794.30553901565,GEO
NAVSTAR 52 (USA 168),2026-04-02 14:45:38.585952,54.857,328.0046,0.0004244,351.6614,190.3232,1.94743156,20715.96658972853,MEO
USA 169 (MILSTAR-2 4),2026-04-02 15:07:38.808192,12.2369,30.4468,0.010172,5.1213,174.4666,1.00272626,35793.4962000093,GEO
ASIASAT 4,2026-04-02 20:11:38.724288,4.5122,76.6748,0.0002629,298.1603,266.8001,1.00273272,35793.315106262526,GEO
HELLAS-SAT 2,2026-04-02 16:43:59.395872,7.1682,68.7733,0.0005967,268.523,94.7244,1.00272548,35793.51806594929,GEO
THURAYA-2,2026-04-02 11:21:59.754528,8.7066,32.2464,0.000368,331.5216,41.5474,1.00271718,35793.750743733304,GEO
OPTUS C1,2026-04-02 18:44:33.830304,6.7024,70.3101,0.0006303,303.1441,254.5407,1.00273191,35793.33781295697,GEO
MOST,2026-04-02 21:16:24.926304,98.7078,101.6558,0.0010933,108.1394,252.0975,14.21306343,828.0752284359269,LEO
CUTE-1 (CO-55),2026-04-02 22:34:50.767104,98.677,102.4393,0.0010423,49.3322,310.8761,14.24287323,818.0267914230317,LEO
CUBESAT XI-IV (CO-57),2026-04-02 23:05:19.950144,98.6803,102.2335,0.001054,65.6826,294.5452,14.23579169,820.4106963506747,LEO
SCISAT 1,2026-04-02 22:16:15.489984,73.9306,320.8672,0.0006351,34.5008,325.658,14.81359157,632.1742171969909,LEO
COSMOS 2400,2026-04-02 22:31:11.466624,82.4768,17.0302,0.0020518,218.6102,141.3513,12.45187724,1491.8252026920327,LEO
COSMOS 2401,2026-04-02 22:04:18.644736,82.4763,13.4549,0.0021345,213.8912,146.0807,12.45500686,1490.507998243158,LEO
USA 170,2026-04-02 00:02:38.542272,10.3408,48.6565,0.0002078,2.4979,163.949,1.00273325,35793.30024881234,GEO
MOZHAETS 4 (RS22),2026-04-02 23:36:45.412416,98.3452,275.2246,0.0011966,142.2337,9.3078,14.73325651,657.608303676383,LEO
LARETS,2026-04-02 22:15:15.052320,98.4062,253.5866,0.0011032,271.2794,88.7144,14.63855136,687.8904312492004,LEO
GALAXY 13 (HORIZONS-1),2026-04-02 13:51:57.987936,1.2231,84.8041,0.0002178,292.0881,232.026,1.00274334,35793.0173990966,GEO
IRS-P6 (RESOURCESAT-1),2026-04-02 23:36:33.259392,98.1997,133.1518,0.006355,206.9084,216.3736,14.36131236,778.4465304087971,LEO
DMSP 5D-3 F16 (USA 172),2026-04-02 21:47:06.453312,98.9962,116.2154,0.000711,9.7602,87.0299,14.14471665,851.2470469720165,LEO
CHUANGXIN 1 (CX-1),2026-04-02 22:52:45.664320,98.5154,351.4489,0.0013488,54.3997,305.8451,14.48546263,737.5375404218539,LEO
YAMAL 202,2026-04-02 17:17:51.674208,6.1533,71.8438,0.0004659,267.2137,275.0558,1.0027298,35793.39696263789,GEO
UFO 11 (USA 174),2026-04-02 21:47:01.329792,8.8946,34.1889,0.000304,320.2285,239.0129,1.00272226,35793.60833333501,GEO
NAVSTAR 53 (USA 175),2026-04-02 06:37:59.338272,54.984,26.0777,0.0003033,320.4805,39.4853,1.92678565,20909.117665291145,MEO
USA 176 (DSP 22),2026-04-02 11:52:29.432640,11.9614,26.6241,0.0002233,300.9138,314.231,1.00431272,35749.081143010575,MEO
ABS-4 (MOBISAT-1),2026-04-02 21:42:54.224928,5.852,72.9083,0.0005421,302.7616,202.2568,1.00273196,35793.336411308286,GEO
EUTELSAT 139 WEST A,2026-03-30 02:47:36.981600,5.6289,72.937,0.000357,25.0284,145.9143,1.00833594,35636.96821509878,MEO
NAVSTAR 54 (USA 177),2026-04-02 14:17:54.426048,54.8935,278.7395,0.0112404,169.9498,184.1363,2.00557205,20189.91277277398,MEO
SHIYAN-1 (SY-1),2026-04-02 10:55:39.793152,97.8732,165.7125,0.0004467,286.9209,73.1541,15.31792821,477.6003146269795,LEO
AMC-11,2026-04-02 15:21:07.534656,0.1162,80.0392,0.0003245,299.3694,290.7486,1.00272737,35793.465083143565,GEO
INTELSAT 10-02,2026-04-02 21:25:10.924320,0.0427,43.1523,0.0001922,28.2772,80.0775,1.00273665,35793.204937179005,GEO
NAVSTAR 55 (USA 178),2026-04-02 14:24:23.054976,54.8121,89.7627,0.0160249,299.5868,238.252,2.00553367,20190.251636720295,MEO
APRIZESAT 2,2026-04-02 22:18:23.420736,98.0946,263.1966,0.010678,117.0272,244.1864,14.38007011,772.227891133588,LEO
SAUDICOMSAT 1,2026-04-02 22:38:46.561344,98.5805,101.0379,0.0030986,253.4538,106.3254,14.55415968,715.1512470665957,LEO
SAUDICOMSAT 2,2026-04-02 18:27:21.382272,98.6678,102.8741,0.0056512,127.2489,233.3878,14.49929639,733.0153234534027,LEO
SAUDISAT 2,2026-04-02 22:48:33.524928,98.551,90.9932,0.0025002,165.1936,194.9999,14.56636849,711.1911859623815,LEO
APRIZESAT 1,2026-04-02 23:06:28.039392,98.6339,101.6303,0.0045087,25.3903,334.9492,14.51735982,727.1212531315059,LEO
AURA,2026-04-02 22:31:17.975136,98.3351,48.8056,0.0001399,94.2379,265.8982,14.61207688,696.4141598573997,LEO
ANIK F2,2026-04-02 05:29:43.120320,3.0893,80.4366,0.0003864,320.2569,121.1997,1.00272358,35793.57132925511,GEO
COSMOS 2407,2026-04-02 09:03:16.248960,82.9589,130.9874,0.0040678,104.0456,266.8998,13.76327831,984.0773897056915,LEO
SHIJIAN-6 01A (SJ-6 01A),2026-04-02 19:03:26.103168,97.5938,119.7337,0.0007438,49.7297,310.4585,15.16902697,522.3451735396811,LEO
SHIJIAN-6 01B (SJ-6 01B),2026-04-02 23:22:27.392160,97.6114,111.8152,0.0006101,53.5343,306.6446,15.0579893,556.1913636815407,LEO
COSMOS 2408,2026-04-02 21:53:49.023744,82.491,13.018,0.0017117,73.414,286.882,12.45677046,1489.7659716361486,LEO
COSMOS 2409,2026-04-03 00:16:55.199136,82.4909,16.1489,0.001471,83.5792,276.6964,12.45321191,1491.2633950528116,LEO
AMC-15,2026-04-02 20:55:28.773984,0.0497,44.6095,0.0002223,324.4069,31.0139,1.00272221,35793.6097350063,GEO
JB-3 3 (ZY 2C),2026-04-02 21:40:17.973120,97.2663,249.3146,0.0035047,123.2511,237.2091,15.18787325,516.6414653321553,LEO
NAVSTAR 56 (USA 180),2026-04-02 05:58:20.451648,55.1786,327.9559,0.0170387,313.933,214.702,2.00574902,20188.350412508244,MEO
SWIFT,2026-04-02 12:27:42.638400,20.5538,45.5521,0.0002908,336.0272,24.0037,15.61564809,390.2734254170682,LEO
NANOSAT-1,2026-04-02 22:12:08.178624,98.2147,227.8046,0.0004393,158.7959,201.3435,14.7999949,636.4627445792621,LEO
COSMOS 2414,2026-04-02 18:27:10.838880,82.9452,100.6978,0.0040015,182.3784,177.7196,13.87918409,943.0717637545367,LEO
NSS-10,2026-04-02 05:50:41.108640,6.2608,71.3602,0.0003358,304.2509,225.1902,1.00271074,35793.9312814785,GEO
INMARSAT 4-F1,2026-04-02 15:07:38.688960,5.0677,42.7152,0.0003532,352.6843,200.5813,1.00272831,35793.438731968825,GEO
IRS-P5 (CARTOSAT-1),2026-04-02 18:39:35.505792,97.5377,119.2481,0.0001086,52.7857,307.3461,14.90850839,602.4182171049806,LEO
DIRECTV 8,2026-04-02 14:00:49.639104,0.0118,134.2484,0.0003227,248.2689,259.5629,1.00270322,35794.142098185825,GEO
GALAXY 28 (G-28),2026-04-02 21:17:49.130880,3.1046,79.8495,0.0002271,298.0934,105.6474,1.00270997,35793.9528676426,GEO
SJ-7,2026-04-02 19:51:41.336064,97.7362,120.9406,0.0014474,296.0207,63.9537,15.2042659,511.68991664877467,LEO
THAICOM 4,2026-04-02 21:59:37.620960,0.0572,81.5032,0.0002072,302.4475,256.7061,1.00271771,35793.73588589935,GEO
REIMEI (INDEX),2026-04-02 20:59:07.982880,98.0034,213.4344,0.001985,10.9855,349.1802,15.10172281,542.8111330260708,LEO
ANIK F1R,2026-04-02 21:32:58.216128,4.1208,77.5002,0.0003369,317.3468,12.3286,1.00272701,35793.47517509372,GEO
NAVSTAR 57 (USA 183),2026-04-02 19:35:43.922976,54.9404,276.2173,0.0128107,295.6855,243.0638,2.00571005,20188.694435159632,MEO
SYRACUSE 3A,2026-04-02 14:48:00.114336,4.4508,76.7565,0.000372,295.0509,87.3394,1.00272032,35793.662718266445,GEO
BEIJING 1,2026-04-02 22:39:40.951872,98.2777,225.7895,0.0015102,152.6711,207.5288,14.63484222,689.0830785227199,LEO
SINAH 1,2026-04-02 22:45:06.032736,98.2731,226.8784,0.0015205,148.0795,212.1332,14.64102311,687.0959374371723,LEO
CUBESAT XI-V,2026-04-02 08:46:12.082368,98.2878,246.4447,0.0015318,87.352,272.944,14.72420705,660.4878518927571,LEO
INMARSAT 4-F2,2026-04-02 06:42:21.152736,4.997,43.791,0.000325,346.8284,44.0832,1.00271378,35793.846058451134,GEO
COSMOS 2416 (RODNIK-S 1),2026-04-02 23:09:59.106816,82.474,355.7682,0.0008039,345.1876,27.6857,12.55597857,1448.3045900801071,LEO
METEOSAT-9 (MSG-2),2026-04-02 13:05:04.866144,9.192,54.8953,0.0002198,109.6392,268.2973,1.00281438,35791.02609195005,GEO
EUTELSAT 174A,2026-04-02 20:32:23.488224,4.0292,77.4408,0.0006488,298.7628,297.0932,1.00274269,35793.035620194016,GEO
ECHOSTAR 10,2026-04-02 20:53:51.429696,0.0475,39.6541,0.0001413,320.9495,33.8628,1.00272318,35793.582542604076,GEO
SPAINSAT,2026-04-02 13:17:14.371584,0.368,87.8547,0.0004724,297.0918,335.0644,1.00272294,35793.58927061704,GEO
JCSAT-5A,2026-04-02 22:03:14.773536,0.9145,85.0758,0.0001836,326.9349,242.0991,1.00274335,35793.01711877218,GEO
ASTRA 1KR,2026-04-02 21:30:55.374336,0.28,82.1204,0.0003598,285.5681,165.2763,1.00269794,35794.29012000177,GEO
RESURS-DK 1,2026-04-02 22:24:51.139008,69.9332,174.3076,0.000182,38.9872,321.1425,15.12897286,534.5066123428378,LEO
GALAXY 16 (G-16),2026-04-02 20:57:13.605696,0.0199,212.8669,0.0002788,162.8138,30.8219,1.00272613,35793.49984433066,GEO
ARIRANG-2 (KOMPSAT-2),2026-04-02 22:58:38.218656,97.8304,281.0405,0.0013501,316.9067,202.7794,14.64611347,685.4604486859625,LEO
EUTELSAT 33F,2026-04-02 19:52:19.829856,1.4673,83.0622,0.0003573,289.0711,150.2063,1.0027002,35794.22676202002,GEO
JCSAT-3A,2026-04-02 22:01:59.894112,0.0193,224.1881,0.0002717,176.8691,248.7011,1.0026943,35794.39216610109,GEO
SYRACUSE 3B,2026-04-02 14:44:04.854912,2.7096,81.0855,0.0004848,276.3006,275.5944,0.98626794,36261.280430269704,GEO
KOREASAT 5 (MUGUNGWHA 5),2026-04-02 18:32:27.490560,1.5908,83.9093,0.0002219,327.2749,171.085,1.00270294,35794.14994779496,GEO
HINODE (SOLAR-B),2026-04-02 23:09:34.271136,98.0603,110.2153,0.0017937,162.4866,197.6961,14.68515862,672.9470078964287,LEO
NAVSTAR 58 (USA 190),2026-04-02 07:05:40.507872,54.6994,154.3528,0.01063,53.1729,6.8046,2.00574021,20188.42818519442,MEO
DIRECTV 9S,2026-04-02 20:56:43.654272,2.2269,81.793,0.0003741,306.5476,15.8531,1.00271968,35793.68065972561,GEO
OPTUS D1,2026-04-02 20:11:38.724288,2.8413,80.5655,0.0004011,296.1649,269.3428,1.00271668,35793.76476056979,GEO
SHIJIAN-6 02A (SJ-6 02A),2026-04-03 00:04:25.640256,97.6449,133.5219,0.0004247,59.6329,300.5322,15.16070573,524.8673047473048,LEO
